"t","X"
0,0
0.1,0.0513144361146412
0.2,0.516279347860317
0.3,0.466335526671844
0.4,0.886761649976832
0.5,1.20264863624391
0.6,0.913486971232429
0.7,0.942238396780442
0.8,1.00854209273706
0.9,1.10943723472501
1,0.904356200931164
1.1,0.888047893825791
1.2,1.08191788962641
1.3,1.02866374630649
1.4,1.15288747431477
1.5,1.07075488674702
1.6,0.885765983695873
1.7,0.687535166165667
1.8,0.37920349232222
1.9,0.53378320490237
2,0.626894284275284
2.1,0.78488395224246
2.2,1.00385915160303
2.3,1.00662175494283
2.4,0.536049580196828
2.5,0.467724040626518
2.6,0.678987290687524
2.7,1.11411953161826
2.8,1.23657484717492
2.9,1.16999569020934
3,0.977423424608544
3.1,1.19870903818927
3.2,1.18687802756147
3.3,1.0765999662088
3.4,1.20155484308146
3.5,1.41791850435315
3.6,1.35996443488182
3.7,1.44935590022051
3.8,1.54126951597977
3.9,1.19126014590487
4,1.40341463441196
4.1,1.27326019426584
4.2,1.28369268184545
4.3,1.500356614856
4.4,1.16439143269319
4.5,1.19568358332496
4.6,1.00870539274016
4.7,1.17879880387065
4.8,1.14544111533336
4.9,1.21936233830574
5,1.06813024712113
5.1,1.15716227766022
5.2,0.779201335824669
5.3,1.13214742439898
5.4,1.36457221340423
5.5,1.4445995062941
5.6,1.52829016415671
5.7,1.58199754357583
5.8,1.26620044397957
5.9,1.27398919166208
6,0.875825599694482
6.1,0.954137019290891
6.2,1.03180501545353
6.3,0.883553345806677
6.4,0.954579668092969
6.5,0.673764739990095
6.6,0.829584616278742
6.7,0.906807979832653
6.8,0.902417757937126
6.9,0.758107899759723
7,0.596712541512518
7.1,0.311326854034516
7.2,0.554885401469275
7.3,0.63440488538969
7.4,0.66525978270083
7.5,0.406211476549568
7.6,0.417431880694592
7.7,0.561766433357324
7.8,0.602516658884699
7.9,0.498733652804665
8,0.406013975048291
8.1,0.239749727704392
8.2,0.22100032783137
8.3,0.28987151952221
8.4,0.271176899974443
8.5,0.0473917411328453
8.6,0.0072979727939181
8.7,0.205497030555191
8.8,0.256188913079944
8.9,0.0120356935306298
9,0.235147096133062
9.1,0.0885803087277822
9.2,0.107331275898649
9.3,-0.226245339088606
9.4,-0.272376415863802
9.5,-0.493288478481888
9.6,-0.237164528673612
9.7,0.173193947779518
9.8,0.372731532446798
9.9,0.293920079025386
10,0.326773429622386
10.1,0.103460628543149
10.2,0.272865720569042
10.3,-0.0332172000047432
10.4,-0.13709573442513
10.5,-0.314436720722807
10.6,-0.307387020611522
10.7,-0.402727880159715
10.8,-0.534604538905627
10.9,-0.589495953340213
11,-0.357548506491933
11.1,-0.403981925337393
11.2,-0.0839290866863034
11.3,0.0574285790903189
11.4,-0.219150154869488
11.5,-0.269561863893599
11.6,-0.252269173601539
11.7,0.080179563901749
11.8,0.334498195801135
11.9,0.263054576559602
12,0.175709246008081
12.1,0.0731029735458714
12.2,0.1986833547872
12.3,0.329881187258329
12.4,0.255955327812789
12.5,0.108563691507322
12.6,-0.0905986864647401
12.7,-0.048417592587873
12.8,0.13543050524774
12.9,0.164807815081928
13,0.41980050722069
13.1,0.0721542152355416
13.2,-0.100246514462229
13.3,-0.19431646797055
13.4,0.117037117924233
13.5,-0.0516827229908132
13.6,-0.18388619912084
13.7,-0.125399249179686
13.8,-0.395327351429432
13.9,-0.177177776008636
14,-0.334943787618346
14.1,-0.375740043884644
14.2,-0.172126576071332
14.3,-0.396954473215525
14.4,-0.415390827927173
14.5,-0.264154234796202
14.6,0.374224836689548
14.7,0.397415392867928
14.8,0.225463225802735
14.9,0.231391606494918
15,0.234130874332805
15.1,0.361958591916102
15.2,0.320345218867785
15.3,0.0876025793191962
15.4,-0.016032234803279
15.5,-0.0216501587264097
15.6,0.057608150978126
15.7,-0.123249925224889
15.8,-0.445955504025073
15.9,-0.843428450165115
16,-0.820459882685985
16.1,-0.47524112242483
16.2,-0.457094014324724
16.3,-0.272228630232122
16.4,-0.358802105857178
16.5,-0.350765604641208
16.6,-0.325686896823661
16.7,-0.00462267721493564
16.8,-0.103868162724157
16.9,-0.113655535919195
17,0.195380564937736
17.1,-0.205505096258245
17.2,0.0166897229419317
17.3,-0.163200854683143
17.4,-0.252476862652787
17.5,-0.245333091129863
17.6,0.0218258342878233
17.7,0.0449738578134634
17.8,0.274502080698032
17.9,0.29046199840505
18,-0.06204601224234
18.1,-0.208735718536838
18.2,-0.0817586136606351
18.3,-0.0922736327040639
18.4,-0.207383351486774
18.5,-0.369530358473295
18.6,-0.362006715087593
18.7,-0.559616033910769
18.8,-0.520218050850029
18.9,-0.710364124312441
19,-0.830789957922469
19.1,-1.07369097909784
19.2,-1.13708715038907
19.3,-0.903951331898732
19.4,-0.788535435479992
19.5,-0.728163040829117
19.6,-0.452714018696489
19.7,-0.529938019214024
19.8,-0.393483191341605
19.9,-0.313204343272386
20,-0.0994012556316907
20.1,0.267019473553938
20.2,0.024669717579221
20.3,-0.2533300894117
20.4,-0.689724720388539
20.5,-0.665849628180883
20.6,-0.453570177564214
20.7,-0.305198123236092
20.8,-0.520133762101897
20.9,-0.590946348207416
21,-0.626291157866638
21.1,-0.461853489856071
21.2,-0.375000814025327
21.3,-0.23658305324485
21.4,-0.0281662979582548
21.5,0.0960160007823387
21.6,0.173693170817841
21.7,-0.0665487951821956
21.8,-0.228085440330801
21.9,-0.115061690480523
22,0.03863721509325
22.1,0.374004372546248
22.2,0.419750835714861
22.3,0.544455462216077
22.4,0.503213566841715
22.5,0.371175750066865
22.6,0.569760594889202
22.7,0.443518388515071
22.8,0.306484222372844
22.9,0.289646870290714
23,0.519575582254933
23.1,0.469375840054019
23.2,0.623705540397027
23.3,0.755388080202073
23.4,1.02245305523133
23.5,1.02855950492452
23.6,1.10352105623611
23.7,1.00879859149498
23.8,1.0405000202468
23.9,0.875101336398754
24,0.915220164211162
24.1,0.938366273978071
24.2,1.08005265904165
24.3,0.96988932261546
24.4,0.7943983548894
24.5,1.00654582108042
24.6,0.898289593934522
24.7,0.745898949145473
24.8,0.742966039643818
24.9,0.534103423718527
25,0.411595196636836
25.1,0.520900810818238
25.2,0.166710874999371
25.3,0.101728307017823
25.4,-0.207524102185246
25.5,-0.194345797720418
25.6,0.326637040938428
25.7,0.591964558067931
25.8,0.336900072277179
25.9,0.466921800286627
26,0.593639475088548
26.1,0.691687698231587
26.2,0.354473834076514
26.3,0.28092042372436
26.4,0.708015392644428
26.5,0.420016945064993
26.6,0.546175342832489
26.7,0.605120661518917
26.8,0.49554849514047
26.9,0.393164920467142
27,0.578905911211705
27.1,0.855300511217757
27.2,0.76112159127352
27.3,0.192522987449028
27.4,0.364021492244067
27.5,0.350305866912665
27.6,0.737126623487829
27.7,0.718921119893184
27.8,0.71774766406889
27.9,0.707503549654913
28,0.692764049576827
28.1,0.513452729153392
28.2,0.449083112739107
28.3,0.262256386828045
28.4,0.457089468722497
28.5,0.207195557496974
28.6,0.286850174933297
28.7,0.50208809778895
28.8,0.573732623837766
28.9,0.554052130308622
29,1.11858245485008
29.1,1.05223423369666
29.2,0.986891054997317
29.3,1.02996590364808
29.4,0.792255734514708
29.5,0.678725197503152
29.6,0.558269631037909
29.7,0.413099169276891
29.8,0.569231311205814
29.9,0.392297462305829
30,0.433766258253799
30.1,0.476866191101868
30.2,0.676800588053551
30.3,0.803674788123831
30.4,0.810758676997814
30.5,0.618855039971165
30.6,0.548946298575628
30.7,0.631952025486968
30.8,0.265928416014157
30.9,0.221307928259736
31,-0.0422945188293989
31.1,-0.083442722552993
31.2,0.098640532257085
31.3,0.225889486494057
31.4,-0.443602617328135
31.5,-0.426647514156661
31.6,-0.336629859575383
31.7,-0.54485585059842
31.8,-0.548555060355129
31.9,-0.532679277752904
32,-0.6674942316063
32.1,-0.875106946059047
32.2,-0.990425994618422
32.3,-0.969374725189766
32.4,-1.04027092153906
32.5,-0.702515429647971
32.6,-0.916837630611938
32.7,-1.07680649350213
32.8,-0.96964364168253
32.9,-0.922350768305741
33,-0.892196956418897
33.1,-0.86251577906355
33.2,-0.687813619113104
33.3,-0.405473633193809
33.4,-0.175348618503505
33.5,-0.0512544556984545
33.6,0.0314706092859978
33.7,-0.164294613885302
33.8,0.141063171701665
33.9,0.168761834136397
34,-0.107639944519525
34.1,0.0766980757040228
34.2,0.200222731079942
34.3,0.14641690419285
34.4,-0.186637546855713
34.5,-0.293192048583489
34.6,-0.0397063955790252
34.7,-0.0376774028627961
34.8,0.00621581558981636
34.9,0.0547755298565685
35,0.194624834978201
35.1,0.372955110998346
35.2,0.383453864840724
35.3,0.252225751811013
35.4,0.313468659010618
35.5,-0.0595876632820024
35.6,-0.20549914163251
35.7,-0.0586911791997756
35.8,-0.256524764196227
35.9,-0.326483193360306
36,-0.472687939022245
36.1,-0.356516701924319
36.2,-0.564707048750215
36.3,-0.746365436385107
36.4,-0.729042075426279
36.5,-0.878758620624301
36.6,-0.763053245598085
36.7,-0.81929478770949
36.8,-0.797317242853438
36.9,-0.495013488804667
37,-0.522305701426752
37.1,-0.282962783825102
37.2,-0.480560671090123
37.3,-0.390943908192562
37.4,-0.288006938227192
37.5,-0.279255162419414
37.6,-0.100328802700598
37.7,-0.0715844527815463
37.8,-0.200079549145437
37.9,-0.24501529388372
38,-0.320760458237481
38.1,-0.383039390631475
38.2,-0.266878665259889
38.3,-0.267083734470538
38.4,-0.346285731199107
38.5,-0.345177361685051
38.6,-0.566606190022258
38.7,-0.850207700718261
38.8,-0.732724888554369
38.9,-0.843767398908336
39,-0.887644041767201
39.1,-0.580730290143339
39.2,-0.600669186261432
39.3,-0.4702948677977
39.4,-0.750247732941764
39.5,-0.94449669512982
39.6,-1.08310917952928
39.7,-0.885893776106317
39.8,-0.749897514094125
39.9,-0.628770350513451
40,-0.198253468112119
40.1,-0.299188153062463
40.2,0.00439000626835384
40.3,0.0643600923325295
40.4,0.219433575766388
40.5,0.208917860557116
40.6,0.238307670949773
40.7,0.541788799557371
40.8,0.320730974043916
40.9,0.602813809201374
41,0.749819512647844
41.1,0.697790817662032
41.2,0.369913133732669
41.3,0.221913326267261
41.4,0.423573490147424
41.5,0.631859204723282
41.6,0.695954711502051
41.7,0.799562832033374
41.8,0.573837839077096
41.9,0.629917078876753
42,0.411981866166861
42.1,0.538954316936748
42.2,0.636407704323769
42.3,0.463304807742033
42.4,0.204245554393482
42.5,0.171582984295162
42.6,0.204663270983334
42.7,-0.0981953196523222
42.8,-0.24696404356005
42.9,-0.202606813058773
43,-0.150279333533083
43.1,-0.371357936371724
43.2,-0.332899820660673
43.3,-0.451321364957245
43.4,-0.490299326174732
43.5,-0.479350121067337
43.6,-0.509814979945427
43.7,-0.314894006476239
43.8,-0.178105090576592
43.9,-0.332666308758191
44,-0.440416979530529
44.1,0.0033343999602865
44.2,0.181165915538977
44.3,0.459320672509686
44.4,0.560452056275868
44.5,0.623188378416852
44.6,0.433902997786537
44.7,-0.0461070953970104
44.8,-0.291509215921626
44.9,-0.00962024232190611
45,0.355346669514005
45.1,0.155676921033981
45.2,0.150540901653551
45.3,0.0275770492519969
45.4,-0.171931974411398
45.5,-0.130415691995842
