"case","n_events","true_gamma0","poisson_gamma0","hawkes_gamma0","true_gamma1","poisson_gamma1","hawkes_gamma1","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
"diffusion_negative_control",225,-0.916290731874155,-0.938606737100461,-0.938624720745811,0.5,0.5448799165873,0.54486051185032,0,4.93198221684743e-05,1.5,8.3739530058659,0,5.88967028283131e-06,-371.292637041933,-371.292838704279,-0.000403324692342721,0,FALSE
"diffusion_positive_control",416,-0.916290731874155,-0.266311256096151,-0.758707816929624,0.5,0.421628811174511,0.47385124981847,0.6,0.789992976658315,1.5,2.10740788403622,0.4,0.374864772331249,-455.414567904223,-407.482771331064,95.8635931463183,0,FALSE
