"index","z"
1,1.35907805133065
2,3.32493132241358
3,0.875254200150053
4,0.373770463106025
5,0.0759051858713864
6,0.616812202123547
7,1.76899319004686
8,0.73749839102805
9,1.67542952584887
10,0.0636090291463063
11,0.562164378087084
12,1.13498152369444
13,0.102802909357845
14,0.378102730645081
15,0.125612199759873
16,0.115603753594446
17,0.0371018751267247
18,0.400345201466948
19,0.658088690241058
20,1.35854746491022
21,1.80378024025377
22,0.943560872438816
23,0.0499597162380248
24,2.6756227734161
25,0.190610112024316
26,0.0419030838259786
27,0.535108668746844
28,0.77163353333308
29,0.497145907772939
30,0.706521013924824
31,2.71724535413936
32,0.258430510358203
33,1.18776318447149
34,0.329153686952832
35,1.78258973089778
36,0.938369158288232
37,0.0539484065669811
38,4.54210296089192
39,0.0363098235440731
40,0.71227052425693
41,1.38119743410964
42,0.91458585948105
43,0.087711822570192
44,0.729943481855997
45,0.230884271922015
46,0.0185540049555613
47,1.20651232746766
48,1.40556300659033
49,3.9856767030626
50,0.0894756434863524
51,0.312671931090421
52,0.18665362148753
53,0.666515812825942
54,4.95624598201108
55,0.0511195787134042
56,0.314128663824306
57,5.77386118842508
58,0.451159407036592
59,2.88819839036985
60,1.24397175837819
61,1.59614318485792
62,0.126999866755028
63,1.64501149052025
64,0.581040180545614
65,0.110191796680425
66,0.773185277843169
67,0.14035539358585
68,0.0833075077014342
69,1.23174174847709
70,2.06641567555431
71,0.153458707906708
72,0.756575300670022
73,1.63486330750915
74,1.73893764439903
75,3.35926426305645
76,1.25606963013365
77,0.326954915785862
78,0.292015252962457
79,0.54255292211343
80,2.72165090850004
81,0.0882430385100008
82,0.394366573522021
83,2.64673012894227
84,0.688014699418986
85,0.166503957246917
86,0.287568054360264
87,0.156979073819656
88,4.01998230334802
89,3.23958970540332
90,1.59470818981275
91,0.142095911756755
92,1.36941714568239
93,1.8865194279158
94,0.718697411845568
95,1.12204177326295
96,1.26522339338619
97,0.469051693780145
98,0.340866902970504
99,0.59651498201886
100,0.214440601622556
101,0.264706061024299
102,0.798685672480786
103,1.70997412724924
104,1.25628456392657
105,1.70720101298718
106,0.510188108490652
107,0.0548256763685373
108,0.420751194821975
109,0.265330558811939
110,0.502765767269906
111,0.0673976697856205
112,0.269728278657993
113,0.603798246895735
114,2.33753789216739
115,3.80075483653216
116,0.506932335861165
117,0.836686214946255
118,0.353609540179605
119,1.08479998355247
120,0.0976831776235088
121,0.357299859314139
122,1.93213428534919
123,0.619882500144115
124,0.365994550558725
125,0.197537319053765
126,0.0328832239171675
127,0.0767095431816927
128,1.5419089651518
129,3.34053983398874
130,0.380610428290083
131,2.01267853750656
132,2.22919043539983
133,1.00753786297182
134,0.0330372440766098
135,0.3700484597409
136,0.370650014062619
137,0.348587943553866
138,1.14453472156728
139,0.988288075598632
140,2.21152672639201
141,0.140853231364957
142,0.126739097845785
143,0.0582203355834281
144,3.90065191893711
145,0.385281348738573
146,3.10366021830623
147,0.454011998848387
148,0.359575373306541
149,0.752329280174649
150,3.96290827579557
151,0.620729669863692
152,2.23845417300024
153,1.12551431996536
154,0.0390391587700378
155,0.0991007084133742
156,0.295642001195318
157,0.0312201155568346
158,1.33974960699678
159,2.22836832944748
160,2.50715464578079
161,5.4571106457131
162,0.10023380963932
163,0.0323470510289781
164,2.09981732778218
165,0.214403253169536
166,0.156385101234832
167,0.353632193760944
168,1.15198592026985
169,3.48219897370618
170,0.900046673996059
171,0.386067292357012
172,0.0976809807237089
173,0.267030015273207
174,0.464214514556289
175,0.0729199725581964
176,0.0615340640227657
177,1.27517938801449
178,0.223065208561508
179,0.592097826294889
180,1.41718947330054
181,0.409820742964115
182,1.65591934343675
183,0.22987855265572
184,0.977988209961154
185,0.521677657827695
186,0.819213663458669
187,0.432898152539764
188,1.04276102263967
189,0.0456111832406236
190,2.75473816406515
191,2.68751363784173
192,1.48620941556291
193,3.65412823812582
194,3.28128839866335
195,0.996631314500121
196,0.267509990804626
197,0.146909199063941
198,1.26060615593013
199,1.83976169486513
200,0.215594513670879
