"bootstrap","n_events","D","raw_ks_p_value","mean_z","var_z","mu_hat","alpha_hat","beta_hat","branching_hat","convergence"
1,1017,0.0196448942605884,0.827396078561345,0.999677219000308,1.0589642799349,0.800248583212825,0.302035626200699,1.4146266104371,0.213509080044362,0
2,1014,0.0188123580954797,0.865539749536005,0.999964646030316,0.992652409577593,0.838319605409578,0.36241798137098,2.08955168333849,0.17344293719117,0
3,1219,0.0189878209510526,0.771697444952208,0.999561921814588,0.97275545345153,0.8486757631397,0.39165534165334,1.28823257424115,0.304025336328768,0
4,1170,0.0222399476159552,0.609147295314455,0.997463333270473,1.04012499798725,0.937067256648566,0.201392349353847,1.01146838170583,0.199108892572797,0
5,1068,0.0177333691567492,0.890170093833212,0.999177508299285,0.959742322064669,0.73525153638431,0.415419148806261,1.33221520431639,0.31182585775954,0
6,1045,0.0238665513477056,0.591091438172312,0.999672244938792,1.05357968748597,0.796408584909632,0.263744512032352,1.10716260690171,0.238216600152725,0
7,1053,0.0206105623121957,0.762326262291597,0.999781565224633,0.92566019859117,0.691591380837601,0.38033698892606,1.1048711506013,0.344236510039266,0
8,1053,0.0128009688801299,0.995263022976857,0.999181361495633,0.993005779074309,0.82831161371265,0.316929006751533,1.48450042070474,0.213492028921809,0
9,1055,0.0153356238003047,0.965139443815287,0.997700128791166,0.986059623159532,0.793718358585843,0.286739706368626,1.15766758573178,0.247687427636987,0
10,1112,0.0164581260494293,0.923993374825824,0.999793322470347,1.03420871751322,0.777715578181967,0.384730395095366,1.27758835271153,0.30113799509742,0
11,969,0.0234167757130993,0.662681771797094,0.999242304079855,0.977210464957392,0.719246417397824,0.275383219269099,1.06792808945692,0.257866818925178,0
12,1116,0.0154148827316599,0.953563285657226,0.998288985609152,0.998427876719483,0.820496672570233,0.55585894132927,2.09922781192417,0.264792100300808,0
13,1031,0.0163176606055272,0.946534544908085,0.995052134681932,1.01525622664297,0.761856447723183,0.302018832221695,1.15693169875533,0.261051566437863,0
14,1015,0.0292281217143902,0.351149567809619,0.998739833874844,0.948599243495281,0.781137149399011,0.322628484721386,1.40010905056741,0.230430968638219,0
15,1160,0.0270655179234292,0.363324670690798,0.995665436165973,0.962542700656893,0.842407609682184,0.272573033834892,0.995564996744822,0.273787281318768,0
16,1117,0.0187972342808905,0.82484268067822,0.999339170230168,0.932544398816556,0.897284720752763,0.304131050750731,1.54553508197249,0.196780425302662,0
17,1074,0.0238394174829586,0.574904776428879,0.998795862573621,0.950763897561738,0.844914406973565,0.309751870889024,1.45267822110966,0.213228137097294,0
18,1047,0.0203521157101521,0.778665942540139,0.997875394772968,0.961793738423658,0.773616277273563,0.330860675784503,1.26701123739525,0.261134760307803,0
19,1093,0.0180628409218768,0.868011015180353,0.998235031375244,0.988249487994664,0.797716269627689,0.400414420423948,1.48190194468911,0.270203046739337,0
20,1069,0.0157705130326237,0.953061977469096,0.998863295282228,1.04180585330297,0.825570593919356,0.271882232083081,1.19352358670153,0.227797954822548,0
21,1121,0.0117898365687066,0.99768661032567,0.998853511356447,1.00989807616139,0.804376146788518,0.342920121526639,1.21443545227253,0.2823699858934,0
22,1136,0.019283682248835,0.79209235286745,0.997955027192468,0.977925017726676,0.870406790542741,0.43276580325071,1.85099069739228,0.233802257277901,0
23,1051,0.0237187042146483,0.595397904175431,0.999858000948038,0.974308130130857,0.83550025418266,0.236853780781336,1.15412724880093,0.205223281078767,0
24,1171,0.0155171111399421,0.940607707882449,0.999808007775113,0.993580508635152,0.874381402619018,0.461524117717667,1.81981016419553,0.253611133072052,0
25,1044,0.0174446594412255,0.908452565843326,0.999092625813342,0.988717295865991,0.82792341312866,0.31079266080166,1.50094837494276,0.207064190874328,0
26,1048,0.0211118872326445,0.738578111697785,0.999298357653778,1.05135686692616,0.792231776322796,0.359984155898777,1.47427488704742,0.244177092794228,0
27,1148,0.0151714966186262,0.954245939865575,0.999172348974702,0.951898413987322,0.795733761292376,0.324968680795009,1.05850924888434,0.307005990866421,0
28,1124,0.0133537467725375,0.988115935775993,0.999740399456682,0.996866806595599,0.775096824895817,0.298368484334044,0.958480072541316,0.311293362148834,0
29,1079,0.0248715419495,0.516773508864685,0.999713870038091,1.00056283013897,0.714003504316378,0.271537234814431,0.801741988071689,0.338684064018549,0
30,1118,0.0202549419073383,0.748689581966753,0.999179531213439,1.03638596081559,0.82406923969611,0.314512244738172,1.19545588188277,0.263089796540909,0
31,1053,0.0139652708642528,0.986389656591297,0.999744439852134,0.985923912915894,0.735883981174083,0.254135999451596,0.842185968028787,0.30175757979728,0
32,1049,0.0158015136454855,0.955903795186214,0.999204970679844,1.02340554591308,0.742471453462118,0.396050591044886,1.35487615173665,0.292314976935151,0
33,1095,0.0136949073093242,0.986388756426526,0.999788849481937,1.01908604264968,0.846092781484938,0.282719381547017,1.24292251660283,0.227463399987111,0
34,1068,0.0164909105235477,0.933499249460003,0.998340412580213,0.928303632106007,0.771907777031966,0.306536440225878,1.10496949772211,0.277416200951973,0
35,1043,0.022266088182444,0.679258192843533,0.999444604526964,1.00055055879691,0.778216668019607,0.349069439426277,1.3738830004755,0.254075084490793,0
36,1106,0.020234907596091,0.755673721580358,0.998154600797206,0.97973499490539,0.836894603320829,0.241365104715045,0.991814200863028,0.243357177690157,0
37,1050,0.0138190056588984,0.988089558028578,0.999942288083713,1.09205891997263,0.761721439879674,0.36750004673141,1.33729246912408,0.274809030347805,0
38,1057,0.0153532182794967,0.964482028634776,0.999472074638231,0.990263415054942,0.781986108663823,0.338723640575946,1.30042513939441,0.26047146453481,0
39,1085,0.0148703189613373,0.97008599184864,0.999432893350409,0.998928308520065,0.863350428523708,0.332192725683172,1.62423141376906,0.204523027240505,0
40,1085,0.0189288891170676,0.8317154965477,0.999023841658025,0.986566814044582,0.821607516271318,0.361338327162374,1.48656724834678,0.243068941256589,0
41,1112,0.0241478824068272,0.535622683286766,0.999885494412545,0.992122937413398,0.843838428046204,0.419305502512925,1.7348920848707,0.241689674054957,0
42,1058,0.0174285907134244,0.904852018785122,0.999806803211807,1.00195144405322,0.852666155378992,0.50779447736651,2.61482753747845,0.19419807619748,0
43,1099,0.0281404057903015,0.34895920005374,0.99863345342733,0.994934902486727,0.82108566149001,0.33245509386494,1.3144808020718,0.252917420582291,0
44,1110,0.0230031572739564,0.599660788203961,0.99867471461769,0.994309926338974,0.787795447759625,0.398276895729479,1.37157735964091,0.29037873287275,0
45,1055,0.0260147918602279,0.472977206569908,0.995456446090985,0.989477334310285,0.784842147540672,0.276483048800469,1.07963921025757,0.25608837301723,0
46,1054,0.023922789280506,0.582536190484265,0.999296750697382,0.976642600297297,0.760882858300201,0.330011283482902,1.18579416518962,0.27830402035258,0
47,1148,0.0183242953420377,0.835507270715553,0.999145993850095,0.959067214653225,0.847218601152877,0.33181070527138,1.26495083664484,0.262311147326071,0
48,1091,0.0190967397744752,0.821112354017088,0.999475580526295,0.998597504818352,0.763295175394554,0.360771074025281,1.20029848777884,0.300567798508927,0
49,1066,0.0168222517744503,0.923577309603246,0.999509833864345,1.03006651689791,0.725324505921577,0.247873147624044,0.774581375445,0.320009175900518,0
50,1115,0.0182640325551085,0.85095615257639,0.997681589070057,1.02248967955724,0.899760714876298,0.453013206878976,2.3467219557863,0.193040852480194,0
51,1113,0.0147983737922465,0.967833074676163,0.999315799911675,0.965997531788396,0.805547720147086,0.403240535231204,1.45894668770582,0.276391549210955,0
52,995,0.0189064279924998,0.869043130780155,0.99949721642958,1.02587807952802,0.725843735947919,0.117731459674149,0.433391522209179,0.271651505950144,0
53,1076,0.0197617040925408,0.794745644512075,0.999605820371839,1.0290761734045,0.83962906081676,0.173443544751851,0.788189556901497,0.220053086510923,0
54,1096,0.0233189469692581,0.590302421787258,0.999660549161578,1.02775345898205,0.911160964903948,0.220057742732557,1.30286697838946,0.168902694121991,0
55,1127,0.0233808926672218,0.56886832877825,0.99993906077077,1.01818752329883,0.792407547358408,0.281176397998015,0.945462619331469,0.297395573604839,0
56,1086,0.0194177521718125,0.807470034044833,0.998834756811269,0.964965922922679,0.814490453663819,0.432658479444601,1.73023878357745,0.250057092437862,0
57,1029,0.01764062927691,0.905993518097478,0.998362569304977,1.00634450883723,0.806012706282268,0.510815717843172,2.35715132904011,0.216708919597109,0
58,1017,0.0188516803266768,0.862705377412988,0.999572430890958,0.937206697220741,0.822368728704259,0.248001596689453,1.29531442647192,0.191460537782275,0
59,1009,0.0221615103877344,0.70464142164728,0.998793385814733,0.980899872360677,0.78678107875632,0.373435673294091,1.69517492969327,0.220293296433815,0
60,1049,0.0176253786340292,0.900364787979713,0.998483239748218,1.0182090100404,0.75503049933621,0.420806083880468,1.50112142103934,0.280327812249266,0
61,1139,0.015529537764967,0.946403477708153,0.998666643459795,0.933350395599156,0.829104898361251,0.325273142209746,1.19474737459434,0.272252652842353,0
62,1067,0.016919574124112,0.92010259984424,0.999442984284136,0.962625496542741,0.718741758623327,0.332470395980406,1.01698793615146,0.326916755019295,0
63,1160,0.0167643293635313,0.900230579328353,0.999437593281426,0.966124618047982,0.905621764031827,0.283888439800888,1.29380580885555,0.219421212872745,0
64,1053,0.0187979372237293,0.850781548766537,0.998058203774503,0.994766649133003,0.757034582696195,0.388238362794722,1.37997298610672,0.281337654217455,0
65,1081,0.016947100436409,0.91540729211895,0.999065662104273,1.04527722914656,0.822656061958103,0.327540219233006,1.36898402688552,0.239257882342259,0
66,1087,0.0179041567577707,0.876867185904706,0.999687590661624,1.00635846161154,0.732643471934964,0.439045787242859,1.34522862287953,0.326372617840275,0
67,1160,0.0230317522538439,0.56966492815066,0.999095890097705,0.961592017879004,0.795147978629572,0.412946265491011,1.31114574845369,0.314950695586684,0
68,1037,0.0171354290468532,0.920994121189383,0.999643304126279,1.04182616905156,0.771978235068197,0.418734282750564,1.63690356119001,0.255808767650398,0
69,1062,0.0177590281985811,0.891123116053907,0.999610771725121,0.969916581124785,0.765095163815278,0.382696320448229,1.36772841628427,0.279804320720268,0
70,1054,0.018121365145642,0.879364175923833,0.999863644840909,1.07480485428856,0.826641691797621,0.244638073475786,1.13191287708805,0.216128006340152,0
71,1115,0.0145600354892294,0.972101005566687,0.999371212879321,1.00017547264845,0.855857868538422,0.464310590478981,1.997008100457,0.232503108211092,0
72,1138,0.0159509441626025,0.934268230889433,0.999870147054162,1.05527646604031,0.926643191305906,0.237172321811354,1.27393753439081,0.186172646153148,0
73,1056,0.0164848770914475,0.936450764905352,0.999757463436213,1.02528620770283,0.736645595943283,0.478834849289663,1.58074244443614,0.302917689706539,0
74,1025,0.0224557504698983,0.679527157278833,0.999205786488775,1.01402637903515,0.808668371026087,0.294977344683067,1.39702233603283,0.21114719290797,0
75,1182,0.0169130055676608,0.887822859017552,0.997805362340324,0.987356438531166,0.83539844179789,0.340772469650696,1.16204313265967,0.293252857895851,0
76,1051,0.0165089361032186,0.936891332677458,0.999436554512563,0.968461102239171,0.757434863557899,0.432671714809108,1.54769404038263,0.27955894609644,0
77,1085,0.0134227827757122,0.989702761964695,0.999790409212946,1.03403236678897,0.858727462397576,0.321594259219928,1.54019325744532,0.208801238198736,0
78,1211,0.0250955257243123,0.430617954586909,0.99880171760043,0.967637727385675,0.933861039106902,0.34722219933497,1.517065465134,0.228877531863333,0
79,1072,0.0226516177958217,0.641243818393153,0.999652972956298,0.956292347009697,0.813528324443195,0.262401692430928,1.0867212520104,0.24146182100101,0
80,1157,0.0195299568775948,0.769531447338901,0.999722269882194,0.976034502208265,0.939608453042761,0.364931438794022,1.94114982700426,0.187997563978467,0
81,1080,0.0149964674657931,0.968344017581601,0.998966352356694,1.01543134249294,0.80012106342987,0.20684498349591,0.797480774974083,0.259373003070365,0
82,1042,0.0172988457533721,0.914125105556685,0.999778216256547,1.00374771543322,0.775383742522293,0.326415219962402,1.27116155627727,0.256784999790542,0
83,1125,0.0203615658625407,0.739403110877584,0.99742678484487,1.01562985273927,0.829406835012974,0.323024959120903,1.22927192973664,0.262777463071258,0
84,1066,0.0238548190701544,0.578901938383186,0.999042248521383,0.979768900378483,0.752350751350739,0.323157813588788,1.09778459928396,0.294372697339325,0
85,1093,0.0136099631770885,0.987425365717802,0.999829632249923,1.03040435119029,0.846083769165795,0.36109547640963,1.59684604304987,0.226130426274509,0
