"B","mean_n_events","false_positive_rate","mean_p_value","median_p_value","mean_branching_hat","sd_branching_hat","mean_observed_LR"
50,162.44,0.02,0.541176470588235,0.490196078431373,0.0398696612254113,0.0538048644490605,0.840032401904662
100,176.72,0.02,0.519405940594059,0.475247524752475,0.0463657753635544,0.0619993159077077,1.04626911274651
200,164.4,0.12,0.447562189054726,0.385572139303483,0.0480915759814964,0.0568837180799117,1.37201669039505
