"model","n","mean_z","var_z","median_z","ks_statistic","ks_p_value"
"Hawkes_correct",1170,0.999644409091621,0.977415563515582,0.7008166473465,0.0163085064923654,0.914730401228439
"Poisson_wrong",1170,0.999802915066896,1.45931397902838,0.561848489566671,0.0842581214187975,1.21966256321632e-07
