"replicate","LR","branching_hat","n_events"
1,-6.69865545432913e-06,5.01348663518244e-08,185
2,-6.66768050905375e-06,3.47944107423104e-07,211
3,0.000287865024290568,2.76549897483814e-06,202
4,0.0079242521485412,0.000640702320279124,218
5,-0.000249472380062343,1.48594301896594e-05,216
6,-2.18306951182967e-06,8.82428141344318e-08,217
7,0.700372056560866,0.0679835534887568,211
8,0.164535185976945,0.0385021480171446,208
9,4.92650666883287,0.245040245901988,221
10,0.790420420845749,0.045549920494948,192
11,2.39755228819854,0.203010764177646,227
12,1.49871865848866,0.0409791746320361,200
13,0.842040372784425,0.0139179855577323,225
14,0.0378891688429803,0.00759642797579602,199
15,0.00743684048131854,0.000658312219674009,219
16,0.349202809344661,0.0534389499251187,196
17,1.53289485638197e-06,1.45053202299676e-09,234
18,1.5093470165383,0.142671605298812,217
19,-5.12060961455063e-06,6.76132709308991e-09,190
20,1.08897896472536,0.0411912766774958,232
21,0.465370318338273,0.0239091743625325,186
22,0.000262619217551219,3.62062729764723e-05,188
23,-1.0649333148649e-06,7.72762681926917e-10,216
24,0.0190773858103626,0.00631145197108347,198
25,0.00451451706385342,0.0002099038263383,224
26,6.38892044686372,0.240989224692121,228
27,2.27022161626377,0.159049698577803,212
28,0.940372160603204,0.0908270705617365,211
29,-5.07398857507724e-06,8.65284236371058e-07,209
30,0.000998798042132876,5.35466515600902e-05,186
31,4.06848542201919,0.0722200856538123,188
32,-1.8832132013813e-06,3.78057248425618e-09,233
33,3.8334691759315,0.110472589665884,184
34,0.00589996780468027,0.00033663687042325,236
35,-9.9460316960176e-07,2.2735809160387e-13,178
36,0.130995204930343,0.0142281763551968,201
37,-2.30929043709693e-06,6.07530811290711e-09,215
38,1.14089937403685,0.0757700192124852,240
39,0.000480468650323473,0.000143001516673591,225
40,0.754674861279057,0.103860480170035,209
41,0.000444920550705774,0.000165808431367034,202
42,-6.19453754779897e-06,9.638032743474e-08,204
43,6.34682919553597e-07,2.89040866158823e-07,224
44,0.0630839787555999,0.00813812780964158,222
45,1.63896904484119,0.0235772059889935,188
46,-2.65617944705809e-06,2.78715613348967e-09,215
47,2.83870984928234,0.104504733758618,215
48,5.06786937959367,0.277639731558132,212
49,0.000216839664915369,5.45153635453545e-06,196
50,-3.18030618018383e-06,6.63245831722471e-09,212
51,0.112320491085768,0.020291495674468,204
52,-1.57427886051664e-05,4.76330520590579e-07,190
53,0.158180788410505,0.00796645507859115,221
54,-8.50836727295246e-07,6.82663481661544e-10,184
55,0.000619262876284665,3.47558820657716e-06,215
56,0.335914767492511,0.0311731730893094,208
57,1.30167186151635,0.115899673808763,198
58,0.00961662939130292,0.000262530363289321,217
59,4.45484477376937,0.0334926570080176,224
60,2.18488089791794,0.132028085566746,206
61,0.0246250349852062,0.00145873586029384,199
62,4.47946758868056e-05,3.51534828198111e-06,220
63,0.231259539747896,0.0547243221609707,212
64,-7.44604392366455e-07,1.92749513147713e-07,197
65,-0.00369076076998454,0.00394595070480921,216
66,0.298117253791418,0.0245233751685642,189
67,-3.75042523046432e-05,2.88678326119745e-06,191
68,0.895723961049498,0.0477610064032675,205
69,1.72175337017205,0.137599630717356,199
70,-2.61380108668163e-06,1.38211440545832e-08,226
71,0.67454288109576,0.0266757150014683,231
72,-9.28950794332195e-06,4.5119275638914e-07,200
73,1.02747299024486e-06,1.51277234797822e-08,180
74,-3.62650501983808e-06,7.10968982048014e-09,219
75,0.365521678343839,0.0296220716215989,211
76,0.110369514471472,0.0101863833458265,223
77,0.000323422449184818,5.91681428401011e-05,211
78,-7.40487848815974e-09,1.15261009308744e-10,198
79,-6.63161364400366e-06,2.52444791650962e-08,200
80,0.00940616552964002,0.0027700881696588,208
81,2.47048456680039,0.0774964366120537,220
82,0.391467461855598,0.0620002956414497,178
83,1.63980457773323,0.0904989585908648,207
84,0.496686752229778,0.0304975973028949,237
85,2.1665583477531,0.042508360229269,210
86,0.00824803569520327,0.000860610226765325,207
87,0.163236203401254,0.0173857718975402,220
88,0.117518307309922,0.0127237320758892,216
89,-5.89496813745427e-05,2.12871790287392e-06,203
90,0.597756050976898,0.0758059767526798,206
91,0.00135962819842916,3.44913928856646e-05,219
92,5.67166192035893,0.0414504797195752,220
93,2.77115100393377,0.0755669699877337,193
94,0.499488511426364,0.056472027625518,199
95,-5.01931972394232e-05,3.93978025145086e-07,202
96,0.000593270276340263,0.000238935082300038,210
97,3.87743622201504,0.0814133145201664,196
98,0.807995989646599,0.0401466699425333,214
99,0.00868642236542883,0.000409905287784104,201
100,0.00120573574145055,6.73011028450445e-05,207
