"event_index","event_time","compensator","rescaled_gap"
1,1.13781815273093,0.951458363156445,0.951458363156445
2,1.45163533231442,1.30897106141765,0.357512698261203
3,1.79572431804253,1.76306797548816,0.454096914070509
4,2.76032611499128,2.95486270709219,1.19179473160403
5,2.80156718808529,3.01170559741751,0.0568428903253224
6,3.84909203557774,4.36936519784211,1.3576596004246
7,4.68709774753239,5.3443805992768,0.975015401434689
8,5.51392502842116,6.29539022090749,0.951009621630686
9,5.94922330769549,6.83238897649562,0.536998755588139
10,6.16721064045498,7.13801208626692,0.305623109771298
11,12.068196099016,12.6527904259952,5.51477833972827
12,14.7527868263648,15.1490680832129,2.49627765721776
13,14.7759674547319,15.1772460236784,0.0281779404654507
14,15.2423107708007,15.8204594530768,0.64321342939837
15,16.4640205297501,17.2693105824598,1.44885112938305
16,17.4768157478573,18.3802377406597,1.11092715819986
17,18.0430484392698,19.0421224645123,0.661884723852676
18,18.3148724336091,19.4017974939126,0.359675029400293
19,19.0777834706939,20.3939572027663,0.99215970885362
20,19.2704235133381,20.66054788168,0.266590678913772
21,19.7080373700419,21.3010346741637,0.640486792483703
22,21.8534720908054,23.6295221240804,2.32848744991668
23,22.5748764109157,24.4160902186352,0.786568094554781
24,23.7957987210361,25.7314314173238,1.31534119868859
25,25.4707004493462,27.4196715708362,1.68824015351244
26,26.013081241507,28.0290502642023,0.609378693366118
27,27.0571383860961,29.2031691482084,1.17411888400606
28,28.1049637273237,30.3455009578288,1.14233180962038
29,29.1328952141007,31.4612448940595,1.11574393623075
30,29.4602063660104,31.8607365376368,0.399491643577278
31,29.8281846359343,32.3607264266215,0.499989888984693
32,30.7561513574239,33.5263767853738,1.16565035875227
33,30.8148092677554,33.6077046577592,0.0813278723854722
34,30.9510464280369,33.833358294082,0.225653636322718
35,31.9371136808243,35.2385912965567,1.40523300247474
36,32.616847558898,36.0810124043734,0.84242110781674
37,33.5866369415753,37.20752702869,1.12651462431658
38,34.9300344600939,38.6370901780044,1.42956314931439
39,35.8914317924332,39.6722772526646,1.03518707466016
40,37.3166002125696,41.1536336303212,1.4813563776566
41,40.0831486843185,43.7583054956961,2.60467186537491
42,40.4180466943122,44.1403233240511,0.382017828355032
43,40.4643297927138,44.206494950805,0.0661716267539276
44,40.7679500385915,44.6933002235757,0.486805272770688
45,40.9563772611464,45.0131001114918,0.319799887916069
46,41.8523287344787,46.3210204666414,1.30792035514956
47,43.6452580650708,48.246375679889,1.92535521324767
48,45.0256091009646,49.651654646266,1.40527896637694
49,45.2016490613647,49.8661523721289,0.214497725862913
50,46.414906642763,51.2829123256824,1.41675995355352
51,47.1883088210542,52.1588126147351,0.875900289052694
52,48.0990275008807,53.1891814542598,1.03036883952466
53,49.7171691841498,54.8608780148208,1.67169656056106
54,49.7778913166602,54.9364024104945,0.0755243956737033
55,53.8728064505828,58.8789539740922,3.94255156359766
56,54.735828386918,59.7861481438209,0.90719416972869
57,55.3914386501033,60.5379474810576,0.751799337236747
58,55.4910015315018,60.6732975099773,0.13535002891966
59,55.8735433133805,61.2457282411943,0.572430731216969
60,56.3405869936785,61.9296086300459,0.683880388851655
61,56.6729994834482,62.4215197972095,0.491911167163636
62,57.1599073031017,63.133102906884,0.711583109674443
63,57.4092120805068,63.5095675722745,0.376464665390486
64,57.7351170373091,64.0241478022327,0.51458022995822
65,58.496799471197,65.0983368287663,1.07418902653363
66,58.5347471625591,65.1554940153494,0.0571571865830833
67,59.2993360120744,66.2665842479977,1.11109023264825
68,61.3087642776126,68.4032680550166,2.13668380701897
69,62.2962635387583,69.4446121553221,1.04134410030549
70,62.7485243420479,69.979495425613,0.534883270290919
71,62.7513097197438,69.9835540658409,0.0040586402278393
72,63.5344051376762,71.1014683144896,1.11791424864869
73,63.6719238206627,71.3026187144829,0.201150399993352
74,63.8780142689691,71.6426024929607,0.339983778477816
75,63.9697729645926,71.8115352159175,0.168932722956797
76,64.5069704844815,72.7489143841443,0.937379168226741
77,65.0565132246842,73.5748103695784,0.825895985434087
78,67.4837726890839,76.1376912089583,2.56288083937999
79,69.1478477870785,77.7773270020206,1.6396357930623
80,70.3443406247143,79.0095343904251,1.23220738840446
81,70.4914581779386,79.1919403327587,0.182405942333574
82,71.1209481458484,80.0215127626897,0.829572429930991
83,71.7163472422181,80.784830909512,0.763318146822328
84,72.9437415639893,82.1829945638179,1.39816365430593
85,78.7697463391467,87.3831637671161,5.2001692032982
86,80.6980756121813,89.2370512537238,1.85388748660763
87,81.9804721857814,90.5396645830974,1.30261332937366
88,82.7844238346681,91.4183430087542,0.878678425656787
89,83.820349976619,92.5562307969964,1.13788778824215
90,86.1911832055497,94.8598391534312,2.30360835643485
91,87.8607741182243,96.4995108607915,1.63967170736032
92,87.8886891596467,96.5341225831134,0.0346117223218698
93,89.3336220275127,98.2041176279686,1.66999504485516
94,90.3271491631768,99.2796868592439,1.07556923127534
95,90.6901249230728,99.7199846369095,0.440297777665634
96,92.4024318041743,101.564820551494,1.84483591458452
97,92.7169491230305,101.936349686593,0.37152913509891
98,93.5304462191969,102.9240532114,0.987703524807458
99,94.2192837131813,103.748017531369,0.823964319969008
100,94.838140990869,104.50308975568,0.755072224310396
101,95.0446171698504,104.784894268275,0.28180451259523
102,95.727985131494,105.713628184465,0.928733916189842
103,96.5544863247268,106.729702141616,1.01607395715061
104,98.5991454963254,108.812245139468,2.08254299785281
105,100.330253823249,110.513729011205,1.70148387173685
106,101.521544370642,111.73965887696,1.22592986575529
107,101.826075006847,112.104455690942,0.364796813981116
108,102.944628736473,113.40354320275,1.29908751180888
109,103.093160335116,113.595218589689,0.191675386938329
110,103.924678424481,114.66614717353,1.07092858384108
111,104.740891850322,115.636986657791,0.970839484261433
112,105.563840236237,116.592026112263,0.95503945447156
113,106.65158833108,117.796277777128,1.20425166486524
114,108.248005683169,119.429978181865,1.63370040473684
115,108.734403492082,119.984040825606,0.554062643741034
116,109.274548254449,120.653589469805,0.669548644199267
117,109.618765498941,121.11468125842,0.461091788615221
118,111.477977979101,123.153483834582,2.03880257616197
119,112.274917980648,124.020106117406,0.866622282823698
120,113.183807027533,125.035257105614,1.01515098820826
121,115.314198576601,127.148029210868,2.11277210525398
122,116.199846433854,128.086442826981,0.938413616112911
123,118.094372247875,129.979943181613,1.89350035463141
124,118.252146035317,130.169334369806,0.189391188193639
125,118.262013089121,130.184462752918,0.0151283831116871
126,125.811900671915,137.221812809797,7.03735005687906
127,127.048987478987,138.471306538592,1.24949372879533
128,129.363576925842,140.694344264776,2.22303772618366
129,134.421724795055,145.189710689027,4.49536642425065
130,135.779190162201,146.546691998529,1.35698130950212
131,138.117722062186,148.783612866387,2.23692086785783
132,139.42967117866,150.107841883825,1.32422901743846
133,139.582131595007,150.294724133051,0.186882249225562
134,140.047031619394,150.927576995419,0.632852862368708
135,140.580583170707,151.648237220257,0.720660224837701
136,140.610100015706,151.693618859057,0.0453816388000234
137,140.683186653632,151.828501777697,0.134882918639676
138,142.496773191403,154.185733624566,2.35723184686961
139,142.903528863391,154.669556710191,0.483823085624522
140,142.955806104816,154.745285268444,0.0757285582531608
141,143.126327432832,155.033740710243,0.288455441799215
142,143.3175493228,155.381998380903,0.348257670659336
143,143.328647610607,155.404829999506,0.0228316186030781
144,143.463224038601,155.711366526991,0.306536527485264
145,143.772338367703,156.387074773014,0.675708246023106
146,144.012377048081,156.879456742567,0.492381969553264
147,144.535383751498,157.823357873088,0.943901130520317
148,144.683894398077,158.083621027139,0.260263154050904
149,146.472442901696,160.33189373283,2.24827270569182
150,147.231204810136,161.177912366291,0.846018633460716
151,147.51267998951,161.535266210236,0.357353843944736
152,148.764861633228,162.997476567556,1.46221035732032
153,149.535150837486,163.868293994065,0.870817426509262
154,150.450593817299,164.902944653042,1.03465065897686
155,150.512548001079,164.985378836959,0.0824341839166323
156,150.960104795367,165.638156306634,0.65277746967476
