"parameter_i","parameter_j","theta_i_hat","theta_j_hat","contrast_hat","sigma_hat","Z","p_value","reject_5_percent"
"log_mu","log_alpha",-0.257043247527121,-1.00492101555331,0.747877768026186,6.22034158496552,3.80203743807569,0.000143511034524257,TRUE
"log_mu","log_beta",-0.257043247527121,0.197466466283022,-0.454509713810143,5.5432705221517,-2.59284822663397,0.00951847657495208,TRUE
"log_alpha","log_beta",-1.00492101555331,0.197466466283022,-1.20238748183633,4.56196748622239,-8.33474391073682,0,TRUE
