"parameter","se_total","sigma_hat_asymptotic"
"gamma0",0.0713529791139367,2.25637931838463
"gamma1",0.0443260697853372,1.40171340245237
"log_alpha",0.180237344829358,5.69960529081943
"log_beta",0.175415044947268,5.54711077894178
