"","gamma0","gamma1","log_alpha","log_beta"
"gamma0",599.650607568947,420.416023416692,203.263593334668,-214.1866502825
"gamma1",420.416023416692,860.333156538218,121.638160521798,-91.0775838747213
"log_alpha",203.263593334668,121.638160521798,140.595477660099,-129.608204701981
"log_beta",-214.1866502825,-91.0775838747213,-129.608204701981,157.556019075855
