"gamma1_true","mean_n_events","mean_branching","sd_branching","q05_branching","median_branching","q95_branching"
0,145.5,0.0612814421804858,0.117094530642466,1.29574052183205e-09,0.0152003460482494,0.235335822556995
0.25,153.6,0.0802856405420446,0.0921654247883735,7.35511044290619e-09,0.0472233308329527,0.24880224544734
0.5,162.366666666667,0.236179191458669,0.142276441754921,8.72555833831728e-07,0.260397378164578,0.427438498198989
0.75,186.666666666667,0.385904476844105,0.105385902253458,0.132614067486986,0.401665497957328,0.509730504580648
1,218.566666666667,0.534531757478807,0.1017369884724,0.385811673833178,0.53273974492628,0.689626755982116
1.25,288.433333333333,0.641015414642149,0.0682801212426,0.525643587102996,0.641224282185721,0.737949788294172
1.5,360.9,0.72100924486512,0.0562742703177176,0.630517614207443,0.715453197540464,0.800225185414293
2,736.033333333333,0.831422652966439,0.0521016838277417,0.754555111122745,0.84146502884107,0.896740567212929
