"model","z"
"Hawkes_correct",0.15782932114555
"Hawkes_correct",0.961050867056455
"Hawkes_correct",0.621362573098295
"Hawkes_correct",0.831058064075369
"Hawkes_correct",0.648604226699053
"Hawkes_correct",0.0395551732983122
"Hawkes_correct",0.422981747998071
"Hawkes_correct",2.62870186520661
"Hawkes_correct",1.98708422082779
"Hawkes_correct",0.844689496526875
"Hawkes_correct",1.76436018613071
"Hawkes_correct",0.784641583995802
"Hawkes_correct",0.555500126857535
"Hawkes_correct",1.7362844651743
"Hawkes_correct",0.608373329740644
"Hawkes_correct",3.5117010896891
"Hawkes_correct",0.408679290159046
"Hawkes_correct",1.1390686272583
"Hawkes_correct",1.00789463503913
"Hawkes_correct",1.08829082146595
"Hawkes_correct",0.29705490685031
"Hawkes_correct",0.57341975295548
"Hawkes_correct",1.25015570036162
"Hawkes_correct",0.0736101019524753
"Hawkes_correct",2.58894982568774
"Hawkes_correct",0.084780586029332
"Hawkes_correct",1.5262966146566
"Hawkes_correct",0.144656434172475
"Hawkes_correct",0.917986887939794
"Hawkes_correct",0.0640752357467669
"Hawkes_correct",1.83573171576265
"Hawkes_correct",0.492257031918669
"Hawkes_correct",0.145369789710568
"Hawkes_correct",0.783404156733447
"Hawkes_correct",0.22605769191621
"Hawkes_correct",0.63847838840347
"Hawkes_correct",0.615623093777117
"Hawkes_correct",1.64736061959852
"Hawkes_correct",0.0488733333215876
"Hawkes_correct",3.42288557179033
"Hawkes_correct",2.53040976281278
"Hawkes_correct",0.958930950748517
"Hawkes_correct",0.680686485980246
"Hawkes_correct",0.00622208418227643
"Hawkes_correct",0.361139900874306
"Hawkes_correct",0.00629376399869841
"Hawkes_correct",2.63682774345671
"Hawkes_correct",0.454864781750281
"Hawkes_correct",0.463175363748178
"Hawkes_correct",1.10299926309307
"Hawkes_correct",0.202143915332321
"Hawkes_correct",0.444564882868278
"Hawkes_correct",2.74021369922202
"Hawkes_correct",1.07654726212219
"Hawkes_correct",0.470740732964494
"Hawkes_correct",1.34390312774973
"Hawkes_correct",0.954658125156776
"Hawkes_correct",3.08718596680387
"Hawkes_correct",0.341926676725691
"Hawkes_correct",0.137345420071739
"Hawkes_correct",0.0232163326900903
"Hawkes_correct",1.59791341615089
"Hawkes_correct",1.3686270983566
"Hawkes_correct",0.00937151792573587
"Hawkes_correct",1.99287582930899
"Hawkes_correct",0.398334177385109
"Hawkes_correct",0.297669981372977
"Hawkes_correct",1.41029811094738
"Hawkes_correct",1.60640453875448
"Hawkes_correct",0.708312219918341
"Hawkes_correct",0.372082117557028
"Hawkes_correct",0.861434164757469
"Hawkes_correct",1.79648381995158
"Hawkes_correct",0.0995663386843262
"Hawkes_correct",0.947539932264931
"Hawkes_correct",0.507045049276755
"Hawkes_correct",0.126881263422433
"Hawkes_correct",0.21020122514561
"Hawkes_correct",4.85104743192909
"Hawkes_correct",0.432948185744408
"Hawkes_correct",1.25191117524544
"Hawkes_correct",0.0902216825250548
"Hawkes_correct",0.335925997264567
"Hawkes_correct",0.686075363658674
"Hawkes_correct",2.83817660517202
"Hawkes_correct",0.120111928381164
"Hawkes_correct",0.0599189747722164
"Hawkes_correct",0.620071313161489
"Hawkes_correct",2.62255806833893
"Hawkes_correct",0.9704957198947
"Hawkes_correct",6.06778341188949
"Hawkes_correct",0.222162226391347
"Hawkes_correct",0.563466472615175
"Hawkes_correct",0.0925197587178133
"Hawkes_correct",0.343503580960601
"Hawkes_correct",0.195806737939591
"Hawkes_correct",0.0260019680371499
"Hawkes_correct",0.905275569629154
"Hawkes_correct",0.358367837163371
"Hawkes_correct",2.78327077642463
"Hawkes_correct",0.566818310580032
"Hawkes_correct",0.180338150855661
"Hawkes_correct",1.09278131163862
"Hawkes_correct",0.261562031744418
"Hawkes_correct",0.503315540124646
"Hawkes_correct",0.53215821470441
"Hawkes_correct",0.96607643445796
"Hawkes_correct",1.32950145349884
"Hawkes_correct",2.94827334796619
"Hawkes_correct",1.00511919903838
"Hawkes_correct",0.756391424658759
"Hawkes_correct",0.175715751720404
"Hawkes_correct",0.75570603540352
"Hawkes_correct",0.436141888097112
"Hawkes_correct",0.496104922398899
"Hawkes_correct",0.530368434734953
"Hawkes_correct",1.66479672213943
"Hawkes_correct",1.05238932342974
