"parameter","rejection_rate","mean_p_value","median_p_value","mean_theta_hat","sd_theta_hat","target_level","theta_true","bias_theta"
"gamma0",0.0666666666666667,0.473398000137953,0.558331313911326,-0.499815169060546,0.119715922576258,0.05,-0.5,0.000184830939453706
"gamma1",0,0.38534628450197,0.318392847416893,0.898588291530073,0.0802426838388089,0.05,0.9,-0.00141170846992689
"log_alpha",0.0333333333333333,0.356087382545793,0.296952923361729,-1.19352425644038,0.361939528648164,0.05,-1.04982212449868,-0.1437021319417
"log_beta",0.1,0.447630385803787,0.351989246256238,0.0927591617527009,0.367923818426024,0.05,0.182321556793955,-0.0895623950412537
