"B","replicate","n_events","observed_LR","branching_hat","alpha_hat","beta_hat","p_empirical","p_corrected","reject","max_boot_LR","mean_boot_LR"
50,1,163,1.39546834620279,0.105493030912717,0.050355991019563,0.477339503698844,0.14,0.156862745098039,FALSE,3.69071311553853,0.517856610329864
50,2,153,0,3.39788373087514e-07,4.14342571306506e-08,0.121941362366684,1,1,FALSE,13.957382297194,1.24614543305442
50,3,138,1.48546750068579,0.0888202379513183,0.179862623414072,2.0250184818538,0.14,0.156862745098039,FALSE,7.30151782603349,0.70215546964461
50,4,109,0.0258519643731461,0.00812972050971434,0.0308983834065774,3.80066982249346,0.5,0.509803921568627,FALSE,4.96065928035546,0.626259675250329
50,5,166,0.12498016725948,0.0267789014237857,0.0351426369852938,1.31232556665223,0.4,0.411764705882353,FALSE,9.89010052671387,0.985614003601311
50,6,166,1.00855579706678,0.0805989262744163,0.131920709492254,1.63675517268185,0.34,0.352941176470588,FALSE,9.72646827206216,1.00755617291841
50,7,192,2.8197157303174,0.179543706440332,0.0206091170993998,0.114786073586204,0.06,0.0784313725490196,FALSE,15.881358421433,0.848773053683634
50,8,164,0,3.61888622849599e-08,5.09941654119293e-07,14.0911214644961,1,1,FALSE,3.77122983807016,0.551105780987507
50,9,157,3.57905149730823,0.0194360484138958,3.57193583594964,183.778912250285,0.06,0.0784313725490196,FALSE,6.34530157134253,0.820314356477036
50,10,175,0,5.24411885832949e-09,0.000186817231299147,35624.1413183106,1,1,FALSE,9.03327745161499,1.21032669391235
50,11,167,0,6.51515998174506e-08,2.58502850715624e-07,3.96771301763775,1,1,FALSE,8.75191478693938,0.830864207233484
50,12,146,1.04834089457282,0.0928394788080805,0.0746017275697689,0.803556079025249,0.28,0.294117647058824,FALSE,5.49317009586065,0.876604184000309
50,13,158,2.46171503067916,0.0622129705936966,0.389687855088729,6.2637718689519,0.18,0.196078431372549,FALSE,6.48621381113117,1.16332267238829
