"model","index","z"
"Hawkes_correct",139,0.288139391208858
"Hawkes_correct",140,0.119285934080352
"Hawkes_correct",141,0.0714224583593364
"Hawkes_correct",142,1.58724802096506
"Hawkes_correct",143,4.27380341291243
"Hawkes_correct",144,1.09175937082608
"Hawkes_correct",145,0.0408332933245106
"Hawkes_correct",146,0.74515779125602
"Hawkes_correct",147,0.830192819437826
"Hawkes_correct",148,0.522048848302205
"Hawkes_correct",149,0.337675152209471
"Hawkes_correct",150,0.390265969480481
"Hawkes_correct",151,2.13855597255142
"Hawkes_correct",152,3.13106084020004
"Hawkes_correct",153,5.33836510915145
"Hawkes_correct",154,1.38135786022656
"Hawkes_correct",155,5.1263193134142
"Hawkes_correct",156,0.137292835034884
"Hawkes_correct",157,0.203009696616817
"Hawkes_correct",158,0.038158305153047
"Hawkes_correct",159,2.76224076247627
"Hawkes_correct",160,0.283112684930472
"Hawkes_correct",161,0.208433976952904
"Hawkes_correct",162,0.62771769808586
"Hawkes_correct",163,0.59270834801427
"Hawkes_correct",164,3.14104518570869
"Hawkes_correct",165,0.562449383999365
"Hawkes_correct",166,1.27715161448882
"Hawkes_correct",167,0.845176946068676
"Hawkes_correct",168,1.17963064032526
"Hawkes_correct",169,1.02670237048471
"Hawkes_correct",170,0.353045890487266
"Hawkes_correct",171,0.610548618936605
"Hawkes_correct",172,4.56983848884565
"Hawkes_correct",173,0.402239994978714
"Hawkes_correct",174,0.204278057015813
"Hawkes_correct",175,1.75178167774763
"Hawkes_correct",176,0.0967607963325179
"Hawkes_correct",177,1.14050057189786
"Hawkes_correct",178,0.38434853146407
"Hawkes_correct",179,0.775588080246791
"Hawkes_correct",180,0.977884240395468
"Hawkes_correct",181,1.17788481992014
"Hawkes_correct",182,0.560464179569806
"Hawkes_correct",183,0.449552338550603
"Hawkes_correct",184,0.726354578176228
"Hawkes_correct",185,0.907660867577505
"Hawkes_correct",186,0.496768792943101
"Hawkes_correct",187,1.79987932283248
"Hawkes_correct",188,2.84613410986884
"Hawkes_correct",189,0.143222638377068
"Hawkes_correct",190,4.06205991253674
"Hawkes_correct",191,0.654491676801229
"Hawkes_correct",192,1.1678759089354
"Hawkes_correct",193,0.301549503481453
"Hawkes_correct",194,0.289961144237395
"Hawkes_correct",195,0.509917911333417
"Hawkes_correct",196,1.55092387574052
"Hawkes_correct",197,0.318539986176489
"Hawkes_correct",198,1.08907664990983
"Hawkes_correct",199,5.44026396734208
"Hawkes_correct",200,0.385826584438121
"Hawkes_correct",201,0.432004649389881
"Hawkes_correct",202,0.633798019689266
"Hawkes_correct",203,0.166602145563019
"Hawkes_correct",204,0.424309060884866
