"B","mean_n_events","false_positive_rate","mean_p_value","median_p_value","mean_branching_hat","sd_branching_hat","mean_observed_LR"
20,153.133333333333,0.0666666666666667,0.496825396825397,0.428571428571429,0.0666748784498472,0.180988425492383,0.810162465549341
50,152.1,0,0.544444444444445,0.450980392156863,0.0409873449889363,0.0618967959824748,0.744330948445186
100,155.1,0.0666666666666667,0.595379537953795,0.53960396039604,0.0582867531319601,0.141449075984101,0.974372886781075
200,155.633333333333,0.0333333333333333,0.498507462686567,0.497512437810945,0.0335633023423382,0.0456305751684456,0.889134458429366
