"","log_mu","log_alpha","log_beta"
"log_mu",1.75447830132899,-0.507197555382034,1.31601173983502
"log_alpha",-0.507197555382034,6.03733758242897,3.28272554926974
"log_beta",1.31601173983502,3.28272554926974,7.9940039376206
