"T_end","n_runs","mean_events","sd_events","mean_mu0","sd_mu0","mean_mu1","sd_mu1","mean_alpha","sd_alpha","mean_beta","sd_beta","rejection_cov_5pct","rejection_hawkes_5pct","conv_full_rate","conv_no_cov_rate","conv_no_hawkes_rate"
100,20,101.25,15.0013157317687,-0.530465546936085,0.140871074469376,0.679994794013913,0.124731990319573,0.815216976725546,0.407237976111077,2.75955300850854,1.48829648983521,1,0.95,1,1,1
250,20,255.9,20.7868885801148,-0.481752562030224,0.141559937729229,0.737085133718228,0.149628816803351,0.75114970790998,0.228600598556063,2.82608224981598,0.925180582147557,1,1,1,1,1
500,20,493.55,39.4774752565508,-0.514758044740438,0.0838767997723027,0.719230041187595,0.0686437906174591,0.726283680871705,0.212138794826763,2.5800819141594,0.686915925817687,1,1,1,1,1
