"parameter","truth","mean_estimate","bias","sd_estimate","q05","median","q95"
"gamma0",-0.5,-0.515825751632329,-0.0158257516323294,0.246236770832376,-0.784253959237132,-0.470151340625349,-0.229898617671109
"gamma1",0.9,0.906315439851509,0.00631543985150862,0.236471151225771,0.614895340998016,0.872306676862292,1.218743273286
"alpha",0.35,0.362815085042164,0.0128150850421643,0.316588612134775,0.117100570694973,0.298627727469936,0.621885497405887
"beta",1.2,1.85242546299468,0.65242546299468,3.79217875185975,0.547914109402658,1.10176768681834,3.80801572779604
"branching",0.291666666666667,0.267837495391991,-0.0238291712746757,0.10386560091203,0.109311175263464,0.269096390416841,0.413071701873288
