"n_events","n_repeat","loglik_naive","loglik_recursive","abs_difference","naive_time_total","recursive_time_total","naive_time_per_eval","recursive_time_per_eval","speedup"
50,200,-51.7054777262891,-51.7054777262891,7.105427357601e-15,0.00900000002002344,0.00400000001536682,4.50000001001172e-05,2.00000000768341e-05,2.24999999636202
100,200,-104.080943877133,-104.080943877133,0,0.0209999999788124,0.00700000001234002,0.000104999999894062,3.50000000617001e-05,2.99999999168462
200,200,-145.881220559502,-145.881220559502,0,0.0639999999839347,0.0139999999955762,0.000319999999919673,6.99999999778811e-05,4.57142857172555
400,200,-302.194802870435,-302.194802870435,5.6843418860808e-14,0.213000000017928,0.0260000000125729,0.00106500000008964,0.000130000000062864,8.19230768903566
600,200,-458.818661655941,-458.818661655941,1.13686837721616e-13,0.396999999997206,0.0389999999897555,0.00198499999998603,0.000194999999948777,10.1794871820895
