"replicate","n_events","gamma0_hat","gamma1_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
1,203,-0.255975025220296,0.769349792864215,2.2566771015099,27.3679873605162,0.0824568161254563,160.459420210503,0
2,217,-0.567756825924494,1.01549590126767,0.401487424661891,1.39666212606481,0.287462097789613,132.070834179671,0
3,234,-0.698281418600939,0.884419997654434,0.485115359876206,1.05156008053431,0.461329189702328,130.174620561551,0
4,229,-0.515275168762417,0.642923553805445,0.477621499742051,1.17803097431083,0.405440527590091,162.651729380404,0
5,232,-1.73603412399818,1.88323879428069,0.135561335860907,0.221250994912154,0.612703847567919,149.82483059085,0
6,189,-0.737160247510821,1.26050482879144,0.108725303785129,0.552043522020422,0.196950601625041,129.97903414937,0
7,227,-0.210408413173883,0.894342740809128,0.361309103011514,4.11450841416339,0.0878134315554631,147.800523381228,0
8,198,-0.476366123656886,0.697005883695389,0.244768068829606,0.90571182975014,0.270249389253456,169.975879244978,0
9,192,-0.72895524147454,0.944723631878502,0.265609480019675,0.778479680871549,0.34118999704952,160.682065402331,0
10,249,-0.322618190083483,0.831492728076603,0.300664708704833,1.06936482419107,0.281161958859339,141.332585370656,0
11,240,-0.414245942450944,0.809241382137661,0.516037950123065,1.57683318237205,0.327262234136133,145.08471494549,0
12,222,-0.663449416432718,1.11464718707276,0.541023042255313,1.64246173487942,0.329397654000768,130.555266169564,0
13,199,-0.378504870722455,0.731585885540736,0.639180796919217,3.43341355556929,0.186164814280066,164.082066083567,0
14,217,-0.447871855289463,1.12154976541174,0.144674729883291,0.997459586472887,0.145043199589544,130.885542388074,0
15,236,-0.184666866730547,0.646966346651526,0.434272627123409,2.22370796220916,0.195292113219749,162.118830706488,0
16,203,-0.730540695830154,0.80666883486183,0.666391282834141,1.58923640497963,0.419315389923176,147.771746497218,0
17,225,-0.447186449188627,0.801137396259855,0.518423157886745,1.6876490637881,0.307186588142378,152.069868275799,0
18,260,-0.334325393829867,0.645669547502035,0.240310023389863,0.644701637586248,0.372746103592322,158.979975824895,0
19,205,-0.985695507838465,1.44138860972697,0.187696139278485,0.544587241187941,0.344657614212651,119.098546329357,0
20,201,-0.451272905574569,0.674227407276621,0.228789018952144,0.853870728450643,0.267943391580227,169.877785966556,0
21,236,-0.253719978723274,0.739178934351638,0.237540122579848,1.07461519727012,0.221046680880076,156.86201798528,0
22,190,-0.386348319235005,0.505988328562289,0.401442677960491,1.80072519221322,0.222933893353871,179.46641187378,0
23,212,-0.355048682327126,0.87237082336985,0.405888515701931,2.46373589485165,0.16474514031723,156.262091659138,0
24,206,-0.599946853526177,1.15818383107165,0.213717612768133,1.01922131596634,0.2096871498076,133.421081337589,0
25,215,-0.436103485096719,0.872242530354734,0.153553423775029,0.63396733640445,0.242210307940954,158.556724646779,0
26,263,-0.402227507672252,0.768922092650495,0.382095045761498,0.981857279375041,0.389155383157829,142.559745264422,0
27,229,-0.462042652043961,0.972000521933973,0.600746798000705,2.24389560004018,0.267724932474554,130.487688804034,0
28,209,-0.346439130541119,0.83012266113808,0.252511579555409,1.54488766847025,0.163449799431337,158.289757872356,0
29,182,-0.812004320247756,1.15209739117392,0.0377885051142663,0.132358675908497,0.285500779264296,161.777481126019,0
30,209,-0.594419255284678,0.797103070036965,0.579872639188989,1.62482117811989,0.356883974062899,152.608661852178,0
31,220,-0.503825138917469,0.959723367711672,0.202505331265412,0.734473155736043,0.275715088678052,148.405613865867,0
32,187,-0.426403123935608,0.8501977216046,0.145056997652454,1.12892017636656,0.12849181074903,162.224133585662,0
33,213,-0.629912213752582,0.817821670249904,0.447301280090298,1.16024226574633,0.385524035191539,159.332420840015,0
34,243,-0.150587782843947,0.591963166882847,0.218282551211925,1.04808079485422,0.208268820766137,169.351681690624,0
35,190,-0.532473725862938,0.890897034549622,0.265236393740352,1.24883468207643,0.21238711380064,154.601684199609,0
36,243,-0.460550593025019,0.789212673886085,0.516261978298074,1.38307955948649,0.373269906822824,140.819982173616,0
37,244,-0.389791672627764,0.894647264884598,0.500330357074999,1.71023965548602,0.292549851402442,135.822171743273,0
38,220,-0.561175380166853,1.05105229153923,0.356143419511934,1.27978048897377,0.278284770380832,132.412838810747,0
39,209,-0.388179869621026,0.827376073238211,0.19768128642161,0.998615483364782,0.19795535890905,157.626018962924,0
40,209,-0.72290526590882,1.13088352490662,0.29659074623504,0.922251219174977,0.321594311905993,136.381027703874,0
41,165,-0.513368831689922,0.572989356118226,0.138676803942,0.711537540497873,0.194897382146508,180.646079279786,0
42,228,-0.484695526106179,1.04182407126707,0.290913687356843,1.14655118976476,0.253729349333745,133.290669514389,0
43,201,-0.750336851335259,1.16770137211268,0.183329589376404,0.611430517626584,0.299837159074171,134.796728507369,0
44,214,-0.737687232478336,0.978215878304598,0.317175829018081,0.782666426939293,0.405250331560066,141.367909213049,0
45,199,-0.472086437197767,0.66749821253948,0.386650157258445,1.38761033886025,0.278644621209748,169.265644268266,0
46,212,-0.498898357561216,0.991690923155642,0.127337008029227,0.551980281665089,0.230691226224795,153.146348474518,0
47,218,-0.288532018488856,0.931757506444223,0.538401304747757,5.16660127200046,0.104208023109028,145.829061866278,0
48,176,-0.468216244052932,0.841872766757572,0.0680150810538468,0.588628694771915,0.115548361229997,165.144257996004,0
49,247,-0.380975179187096,1.13181054286842,0.339395003061961,1.77348019970077,0.191372310285294,117.166186925378,0
50,195,-0.49579526986506,0.901846173345287,0.185974371707875,0.936662963191499,0.198549936333772,158.985887924868,0
