"branching_true","mean_n_events","rejection_rate","mean_p_value","median_p_value","mean_branching_hat","sd_branching_hat","mean_observed_LR"
0,169.466666666667,0.1,0.516339869281046,0.46078431372549,0.0405382211357583,0.0537593883817257,1.14735161528797
0.05,176,0.1,0.489542483660131,0.372549019607843,0.0788255931189875,0.0962339667573923,1.83190517549073
0.1,187.466666666667,0.133333333333333,0.292156862745098,0.176470588235294,0.0954137385114773,0.0861212539972835,2.73817659581871
0.2,211.333333333333,0.666666666666667,0.0738562091503268,0.0196078431372549,0.227390197481204,0.105843321910691,10.6595759808257
0.3,232.4,0.933333333333333,0.0235294117647059,0.0196078431372549,0.283769965746608,0.0776412603946774,17.2271186693178
0.4,287.2,1,0.0196078431372549,0.0196078431372549,0.389991296765178,0.0600058213449066,35.7957795377461
0.5,337.066666666667,1,0.0196078431372549,0.0196078431372549,0.502727165843245,0.0790600708585442,73.3308967329543
