"n_events","mu0_null","mu1_null","mu0_full","mu1_full","alpha_full","beta_full","loglik_null","loglik_full","LR","p_chisq","conv_null","conv_full","boot_id"
268,-0.0882208644016828,0.81202173667752,-0.611195366824206,1.11839367833418,0.0538222664763404,0.178435946159542,-191.941326831567,-186.875375049543,10.1319035640483,0.00145724835638564,0,0,1
268,-0.108892506144951,0.855794756804457,-0.20838528898268,0.926296963690987,0.000467090730865906,7.39613724576974e-05,-185.640477964597,-185.270284602406,0.740386724380926,0.389537024671202,0,0,2
266,-0.019881818330422,0.620448773255806,-0.0200220528409653,0.620461883826041,0.00141200763880606,6.96172361897768,-216.153535780932,-216.157993363666,0,1,0,0,3
297,0.120445941904194,0.520595332310833,0.0372325210120404,0.529942099287334,0.453477950348533,6.02016114173696,-219.623760690647,-217.543769335194,4.15998271090569,0.0413898264884638,0,0,4
281,-0.0313724299330691,0.791017148540019,-0.0314503376757072,0.79103214534269,6.81220721234852e-05,1.11023097953223,-190.994877811809,-190.996235185112,0,1,0,0,5
260,-0.120532183953194,0.816386817523099,-0.123907120249527,0.817504194176542,0.0024350860052456,0.851431479612339,-193.495191822687,-193.496374229538,0,1,0,0,6
270,-0.131529777560812,0.91529178682105,-0.131630683977739,0.915299509772136,0.00137691099417143,11.5591663589615,-175.889779101522,-175.889422670954,0.000712861134672949,0.978699444279902,0,0,7
247,-0.147617123294904,0.761723524800277,-0.147583460859993,0.761657045998762,0.000123875996685143,5.97091700536388,-203.378537674623,-203.379308757161,0,1,0,0,8
257,-0.115000043267307,0.778122485587684,-0.124414858730564,0.782407518684197,0.00185147167218884,0.246855976826968,-199.321822994367,-199.320597811517,0.00245036570044022,0.960519905873308,0,0,9
270,-0.0670402718194596,0.781356458561239,-0.0670429503420946,0.781304870794988,0.000111265033970726,1.06873304888638,-195.624753113465,-195.626689388007,0,1,0,0,10
291,0.0543372701547772,0.665400165645143,0.0541702672850111,0.665515889650486,0.000377135366244419,1.92867275500796,-204.859917719802,-204.861424602165,0,1,0,0,11
243,-0.220265810458078,0.882958396753564,-0.250721263174182,0.882734498167075,0.19483471305902,6.6906419806949,-188.432116116288,-188.079899993977,0.704432244622637,0.401298391518769,0,0,12
255,-0.0998008382488365,0.723018323407192,-0.0998733472356591,0.72305113689555,0.00164129666480527,10.1484907882966,-206.568236003539,-206.567177971474,0.00211606413074605,0.963309694319309,0,0,13
275,-0.0359390115591656,0.751612550560212,-0.241401719861117,0.855899459244911,0.0328644407845189,0.220493929535823,-198.255803865354,-197.55210039678,1.40740693714747,0.235487333793264,0,0,14
289,-0.0127470515567137,0.811947274615853,-0.060764778864685,0.806418640939043,0.575508348513364,12.4162001332958,-185.190699686531,-183.488789136396,3.40382110027031,0.0650455772847646,0,0,15
290,-0.00353575916501706,0.799266644619902,-0.0722965270359849,0.8205498322799,0.0824031156268257,1.44389203367899,-186.741337956478,-186.337267952669,0.808140007617396,0.36867072998824,0,0,16
295,0.0486168103021725,0.716412395978109,-0.0615091358017234,0.76890959701397,0.0215303248196332,0.249033911079657,-196.901227158646,-196.634798472123,0.532857373045999,0.465408031677039,0,0,17
244,-0.143221860039383,0.721385648425098,-0.14317459878551,0.72121508560832,0.000950937236256023,8.76427364272254,-208.604926367588,-208.60868866524,0,1,0,0,18
305,0.0663846059995428,0.754509968489784,-0.0303669367521531,0.761565177286889,0.276048575058046,3.11712289135085,-187.87313638333,-186.218276914876,3.30971893690969,0.068871270372935,0,0,19
262,-0.0994140998635256,0.786575128912105,-0.116559636066341,0.792477120565728,1.44221866616653,2636.28113806096,-197.016230515124,-195.002485398164,4.02749023392062,0.0447644877788722,0,0,20
272,-0.0325895129271425,0.716420374551293,-0.0345992122218196,0.716405285498277,0.00885956621147861,4.42887991140781,-203.643956714811,-203.640849157291,0.00621511503936745,0.93716306856335,0,0,21
235,-0.176088269827109,0.709418363047469,-0.176410398986873,0.709554054986305,0.000632629765475016,1.74051783657207,-211.04946206839,-211.051102875679,0,1,0,0,22
