"","gamma0","gamma1","log_alpha","log_beta"
"gamma0",0.599650607568947,0.420416023416692,0.203263593334668,-0.2141866502825
"gamma1",0.420416023416692,0.860333156538218,0.121638160521798,-0.0910775838747213
"log_alpha",0.203263593334668,0.121638160521798,0.140595477660099,-0.129608204701981
"log_beta",-0.2141866502825,-0.0910775838747213,-0.129608204701981,0.157556019075855
