"n_events","m_subsample","n_nonpositive_corrected","correction_scalar","usual_D","usual_p","corrected_D","corrected_p","subsampled_D","subsampled_p","usual_reject","corrected_reject","subsampled_reject","mu_hat","alpha_hat","beta_hat","branching_hat","convergence","replicate"
1088,105,0,1.93194107631379,0.0183902536301026,0.855425173295109,0.0361019749382369,0.117284828074709,0.0915145580389756,0.342774188724934,FALSE,FALSE,FALSE,0.772352010098337,0.305850968640411,1.05387445141028,0.290215754097772,0,1
1138,109,0,0.0497517791906557,0.0246523040532225,0.493644487149435,0.0243227980460913,0.511159538859072,0.095893122725821,0.268765132500975,FALSE,FALSE,FALSE,0.862522838791437,0.225607406978139,0.931164864760503,0.242285137161147,0,2
1080,105,0,0.61680386700071,0.015691409522605,0.953026921476734,0.0197312699236519,0.794431485151724,0.0463867019342117,0.977580237892557,FALSE,FALSE,FALSE,0.742224236463591,0.312891685918437,0.999800710709383,0.312954054309916,0,3
1157,110,0,0.684600477140329,0.0166490748507801,0.905506422804136,0.0180085114049514,0.847235838111551,0.0518593621001163,0.928805378875583,FALSE,FALSE,FALSE,0.761547787152006,0.347117466483583,1.01557182147426,0.341795094294451,0,4
1127,108,0,0.361324435104984,0.0135721939436797,0.98555941850842,0.0154057370925966,0.951879105291264,0.0716488786545252,0.63626869498975,FALSE,FALSE,FALSE,0.858615050217058,0.486673789978188,2.04116315318823,0.238429637149789,0,5
1132,108,0,0.0141290155725046,0.0148212007108293,0.964794312284877,0.0149494044878939,0.962009929152403,0.0594545394436505,0.83977426468991,FALSE,FALSE,FALSE,0.781123346908466,0.294320149405457,0.947245045730037,0.310711732652691,0,6
1184,111,0,0.958854557943101,0.0147357195597641,0.959258844400113,0.016419865374897,0.906971785612158,0.087586574786523,0.362059259095118,FALSE,FALSE,FALSE,0.898135570725939,0.42360007151767,1.75250117396505,0.241711719119293,0,7
1112,107,0,0.670909679505339,0.0124687048278344,0.995202249398774,0.0189619265997771,0.818826480649364,0.0649928892023087,0.756726470267198,FALSE,FALSE,FALSE,0.726301006009766,0.400538614348269,1.15394065875021,0.347105036390761,0,8
1106,106,0,-1.34478396936351,0.0189710005880474,0.820906189063616,0.0323602412257595,0.197071940139671,0.0789744218291737,0.522997179003976,FALSE,FALSE,FALSE,0.758663424690678,0.260664824595389,0.829280022845926,0.314326665799615,0,9
1195,112,0,0.068586694263253,0.0194273926658283,0.757872403295157,0.018868498743147,0.788503070096229,0.091522430876446,0.305228792097409,FALSE,FALSE,FALSE,0.826926116282821,0.248883963645508,0.806445679325563,0.308618385622267,0,10
1115,107,0,0.286212033175878,0.0226188815639919,0.618283814564334,0.0233669165839245,0.576568877043167,0.105280075442228,0.186445064699851,FALSE,FALSE,FALSE,0.736470894933237,0.419309080047838,1.23287071244988,0.340107908974992,0,11
1103,106,0,0.526907875252772,0.0205397977549791,0.740697921067099,0.0225920555072218,0.626637150426512,0.0540107806596453,0.916585623598966,FALSE,FALSE,FALSE,0.743651644026194,0.213667622304425,0.655287289163673,0.326067094292526,0,12
1132,108,0,2.56613249097648,0.0154856471388051,0.948890458153673,0.0359327251531002,0.107507342522777,0.05590117175774,0.888467047241586,FALSE,FALSE,FALSE,0.850422996735189,0.29556858365625,1.18767138227,0.248863943401018,0,13
1160,110,0,0.989519319341685,0.019238904496966,0.783831110565372,0.0241017333681364,0.510581789169565,0.0987908191562031,0.233268293462232,FALSE,FALSE,FALSE,0.810220753050655,0.327931761451588,1.08710611164288,0.301655705859297,0,14
1122,107,0,-0.144607125108696,0.0189983843218309,0.812779943493491,0.0185393656156073,0.835316818679631,0.125367628446623,0.0692285906020105,FALSE,FALSE,FALSE,0.721455579881547,0.285866817944586,0.800223754403976,0.357233606689801,0,15
1037,102,0,0.480741039196357,0.011599520906847,0.999030103774289,0.0140719153414381,0.986396889254516,0.119463165699369,0.108784195971059,FALSE,FALSE,FALSE,0.705125436529135,0.293063333198036,0.914802849735005,0.320356821453856,0,16
1091,105,0,1.01862257301473,0.0173704377537642,0.897016801031016,0.0243770420445436,0.535736856738573,0.10432965383228,0.203175089266368,FALSE,FALSE,FALSE,0.762487340800661,0.317884780671737,1.05469240692633,0.301400463854806,0,17
1183,111,0,1.23608378770559,0.0154214020921893,0.9411076806299,0.0194677604659135,0.761078289608273,0.0427657597967269,0.987232868348303,FALSE,FALSE,FALSE,0.918783006899798,0.279855697272176,1.25120331077348,0.22366924292997,0,18
1119,107,0,0.0336307934305109,0.0171715363614687,0.896243189601552,0.0173234772406453,0.890213051567085,0.128971194640897,0.0569000178069646,FALSE,FALSE,FALSE,0.742656093360638,0.393547449333955,1.16815031073401,0.336897953728803,0,19
1167,110,0,1.5880190084526,0.0160829293356917,0.923403022623481,0.0166520286109502,0.902644688911628,0.106294456368108,0.16644291528709,FALSE,FALSE,FALSE,0.789479761495713,0.627784050723394,1.9398214309236,0.323629814948734,0,20
1063,104,0,0.289731339829759,0.0184214655248889,0.863477244591184,0.0212247542008392,0.724500155612801,0.067215167921637,0.735279534551183,FALSE,FALSE,FALSE,0.794806165542466,0.450042146071604,1.78332131550103,0.252361782568142,0,21
1118,107,0,-0.947898163397352,0.024157749871677,0.531585024995064,0.0296079223904525,0.280920257495435,0.0531056148109621,0.923489348422748,FALSE,FALSE,FALSE,0.766443883625139,0.265635542285481,0.843348785699158,0.314977085151385,0,22
1034,102,0,1.28140757343839,0.014574109965143,0.98055986941921,0.0233894802055449,0.623617540450562,0.164790230809112,0.00785472360747154,FALSE,FALSE,TRUE,0.772770321178081,0.480972051599974,1.9020845054086,0.252865763972276,0,23
1059,103,0,-1.01654288598895,0.022132142848107,0.677347251729692,0.0303305032812697,0.284198681006132,0.067523978466871,0.735557586852826,FALSE,FALSE,FALSE,0.750078177841018,0.35073889761155,1.2013553496557,0.291952666388068,0,24
