"parameter","theta_hat","theta0","sigma_hat","Z","p_value","reject_5_percent"
"gamma0",-0.471066200869197,-0.5,2.25637931838463,0.405502327864991,0.685108307656861,FALSE
"gamma1",0.821576324093232,0.9,1.40171340245237,-1.76924496772574,0.0768530028839949,FALSE
"log_alpha",-1.05123225243412,-1.04982212449868,5.69960529081943,-0.00782372785606967,0.993757632019088,FALSE
"log_beta",0.153378673400725,0.182321556793955,5.54711077894178,-0.164996585110077,0.868946669906319,FALSE
