"method","max_abs_score","score_log_mu","score_log_alpha","score_log_beta"
"Nelder-Mead",0.0363900961696989,0.00622303203340494,0.0363900961696989,-0.0240642005346034
"BFGS_gradient",0.00805417242470387,-0.00674737302076368,-0.00805417242470387,-0.00278545472608127
