"","log_mu","log_alpha","log_beta"
"log_mu",0.620084915681218,0.184960043725368,-0.202375025537549
"log_alpha",0.184960043725368,0.112995195422627,-0.0955130786906011
"log_beta",-0.202375025537549,-0.0955130786906011,0.103639271742395
