"parameter","theta_hat","theta0","sigma_hat","Z","p_value","reject_5_percent"
"log_mu",-0.216857164475844,-0.22314355131421,2.10905679232778,0.0942568295669296,0.924905142197231,FALSE
"log_alpha",-0.899996529781834,-1.04982212449868,6.32955689190317,0.74853601790134,0.454136908293707,FALSE
"log_beta",0.408760813535939,0.182321556793955,7.85037095552392,0.912140084891722,0.361694979330893,FALSE
