"T_end","replicate","n_events","gamma0_hat","gamma1_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
50,1,52,-0.456316488089042,0.783830619232736,0.475418847319133,2.3205407270837,0.204874166512306,42.4817641281944,0
50,2,34,-1.66313397829322,1.98105414211461,0.0196006418230594,0.0879131407252466,0.222954630688454,37.2250809794742,0
50,3,49,-0.504771774625494,0.742146775762819,0.830125616736993,3.89346273984436,0.213210109407693,41.4709276677184,0
50,4,68,-0.15250310267136,0.659682616226162,0.746508079652759,3.27062511318169,0.228246299658157,37.0303646379136,0
50,5,57,-0.626478814399866,0.702066157384234,0.401593436456535,0.946414578875581,0.424331413970463,40.8815451272399,0
50,6,59,-0.69079124282439,1.1918182204292,1.12310223935973,3.77819849436726,0.297258664687445,27.9251389283767,0
50,7,52,-0.713232219218086,0.896330814126768,0.40959571154992,1.17541391692609,0.348469339737854,38.7551344696421,0
50,8,52,-0.643665961335701,0.944433677222609,0.586882726470818,2.09195826079837,0.280542273461442,39.4172584522713,0
50,9,66,-0.0866917221564587,0.622523331454161,0.184571055898223,1.14106601642983,0.161753179255753,41.4725690551311,0
50,10,59,-0.648420140847388,1.10499603812447,0.799041967232518,2.61375295863593,0.305706767195598,28.5483568892081,0
50,11,45,-0.624440231464479,0.959701358086813,0.863021796371046,5.95391676045782,0.144950262338684,39.7426579539157,0
50,12,40,-0.536227547310177,0.681066528174739,0.248843458415093,2.68360108856276,0.092727439810499,44.6640770342951,0
50,13,58,-0.908943705706903,1.79559274618413,1.02647077325807,8.46792478340903,0.121218692833597,23.6141371772326,0
50,14,65,-0.133376482876693,0.912920331798795,0.0437149826310174,0.734242936511149,0.0595374915538648,36.7202806041868,0
50,15,58,-0.427148987205893,1.14191894022863,0.78506386773835,7.90107225537333,0.0993616869159052,35.4392960341389,0
50,16,57,-0.542196629464829,1.31865111192584,0.236550135975844,2.84847522161415,0.0830444773333145,32.4503885375235,0
50,17,60,-0.581649732674881,1.0149706572617,0.456086121100735,1.47296020834451,0.309639132487727,35.3888279414302,0
50,18,48,-0.711347553522453,0.699195178819342,0.337876195031062,0.907753078005192,0.3722115663585,43.6392445398129,0
50,19,52,-0.411057372590768,1.02262609897018,1.38217856980832,27.6896000792568,0.0499168845289231,38.0584244737791,0
50,20,39,-1.2859024932467,1.68361402208324,0.119759831838516,0.663199099574146,0.180579002467609,32.7785596932237,0
50,21,84,-0.0673197701425704,1.01310797838062,0.351273791378333,1.99977987035464,0.175656229260892,21.9949774723671,0
50,22,53,-0.462414518457202,1.05155715454072,1.07717849938068,10.8740936700928,0.099059152151987,37.4247453448241,0
50,23,57,-1.07471502086652,1.87738809945491,0.130881385456339,0.670828429439642,0.195104112635279,24.2958614896624,0
50,24,51,-0.366850660900227,0.650267103768233,0.902006691315797,5.32363229654307,0.169434446458956,42.7960158124506,0
50,25,43,-0.853308611373146,1.22622270068081,0.0980979766023035,0.576513002391428,0.170157439980337,37.4455370507282,0
50,26,60,-0.514114264395593,1.35412970433899,0.373944145245292,4.51227522015132,0.082872636752142,30.8892921873371,0
50,27,64,-0.484281153185626,1.20718252908499,0.554182661289931,2.80716404835841,0.197417269437463,30.202734465259,0
50,28,62,-0.0359538950385977,0.75320956746342,2.2960921249219e-07,28.5699052117177,8.0367509374171e-09,40.7420470869781,0
