"branching_true","alpha_true","beta_true","replicate","n_events","observed_LR","branching_hat","p_empirical","p_corrected","reject","max_boot_LR","mean_boot_LR"
0,0,1.2,1,149,0,4.93653132843834e-08,1,1,FALSE,6.94884944261622,1.00060224207618
0,0,1.2,2,148,0,1.30617405661404e-08,1,1,FALSE,3.93441605488573,0.716310014596966
0,0,1.2,3,142,0,6.71520888777127e-07,1,1,FALSE,8.2533977781444,1.13399249181444
0,0,1.2,4,164,0,8.27327022830437e-08,1,1,FALSE,7.59024029759581,0.844776779216505
0,0,1.2,5,170,1.28346883620168,0.0594129959985688,0.24,0.254901960784314,FALSE,4.39028295499986,0.770872636007758
0,0,1.2,6,164,2.26081546353464,0.0655157552159606,0.22,0.235294117647059,FALSE,8.64272165273218,1.30560837124473
0,0,1.2,7,163,0.791038773158618,0.0584298742028764,0.38,0.392156862745098,FALSE,9.9933187426671,1.58876890217366
0,0,1.2,8,143,0,9.71936560752365e-09,1,1,FALSE,6.32546234791255,0.810806634997056
0,0,1.2,9,147,0.0172178847887494,0.00562092740756765,0.52,0.529411764705882,FALSE,5.64534839437795,0.671296251220285
0,0,1.2,10,150,0,1.11950862686577e-08,1,1,FALSE,4.48576791827844,0.813994271555437
0,0,1.2,11,163,0.1692479407169,0.0180804813301118,0.32,0.333333333333333,FALSE,8.12459323704275,0.63321855112863
0,0,1.2,12,150,1.48747244566039e-06,1.02697003534258e-08,0.72,0.725490196078431,FALSE,6.63365152699635,0.967301550064887
0,0,1.2,13,141,0,1.66066896064167e-07,1,1,FALSE,5.28308794966534,0.754102874799724
0,0,1.2,14,158,6.83816015043033,0.0475689019396442,0,0.0196078431372549,TRUE,6.11678473156485,0.757529174788462
0,0,1.2,15,148,1.487321173797,0.0689548144545976,0.2,0.215686274509804,FALSE,8.10367068802651,0.839693326621244
0,0,1.2,16,134,1.6579725865995e-05,3.6624726947711e-07,0.54,0.549019607843137,FALSE,4.44887210800596,0.554865014734389
0,0,1.2,17,150,4.20765144326651e-06,2.3497289903553e-08,0.7,0.705882352941177,FALSE,5.7742408424495,0.840336591554748
0,0,1.2,18,153,0.0558652870769833,0.0101610594952146,0.5,0.509803921568627,FALSE,6.26900614941542,0.745863688861567
0,0,1.2,19,167,0.000194697423580692,6.04911955159903e-06,0.52,0.529411764705882,FALSE,3.45286092626276,0.725807546516773
0,0,1.2,20,165,1.87006578107042,0.143728090756659,0.16,0.176470588235294,FALSE,5.50774288161972,0.76215200195549
0,0,1.2,21,171,0.0128603236729532,0.00595375359414933,0.64,0.647058823529412,FALSE,9.37139970223166,1.22513961570153
0,0,1.2,22,146,2.67765335148999,0.148375778484102,0.16,0.176470588235294,FALSE,6.75950951624299,1.03283108128157
0,0,1.2,23,139,1.73551444504483e-06,4.4621458622625e-08,0.64,0.647058823529412,FALSE,9.86859993563775,1.01661605364545
0,0,1.2,24,180,0,4.76035252785046e-09,1,1,FALSE,3.98630965456817,0.65966734274605
0,0,1.2,25,135,0.292027275932639,0.00688415141577057,0.28,0.294117647058824,FALSE,6.63907109109118,0.725493650172991
0,0,1.2,26,150,4.16970393895031,0.302847757172664,0.08,0.0980392156862745,FALSE,8.11873293350294,0.884466665727321
0,0,1.2,27,163,1.7183487289027,0.164485120784546,0.26,0.274509803921569,FALSE,5.579352506958,1.04474639363901
0,0,1.2,28,157,0.00125589325529063,7.99520087278421e-06,0.48,0.490196078431373,FALSE,7.36197521698568,0.709768540029128
0,0,1.2,29,139,4.44758436410734,0.0645159684725997,0.04,0.0588235294117647,FALSE,6.24577181623999,0.927155615691013
0,0,1.2,30,155,0,5.32186927110066e-08,1,1,FALSE,12.1428028722038,1.49273352941755
0.05,0.06,1.2,1,187,1.31468821588612,0.127065807777469,0.24,0.254901960784314,FALSE,7.60344294807857,0.794737913039747
0.05,0.06,1.2,2,136,0.492144104065744,0.075896985307774,0.42,0.431372549019608,FALSE,11.3424926506401,1.31991206530506
0.05,0.06,1.2,3,151,1.44400738313715,0.118950847157793,0.2,0.215686274509804,FALSE,7.38744606077972,0.848819764185643
