"parameter","analytic_score","numeric_score","difference","abs_difference"
"log_mu.log_mu",25.1639624067818,25.1639623911615,1.56203050494241e-08,1.56203050494241e-08
"log_alpha.log_alpha",6.91990947060731,6.91990938435083,8.62564766279661e-08,8.62564766279661e-08
"log_beta.log_beta",-3.64910278329629,-3.64910270604923,-7.7247057195251e-08,7.7247057195251e-08
