"","log_mu","log_alpha","log_beta"
"log_mu",0.574454017510106,0.198880780999389,-0.216166503719251
"log_alpha",0.198880780999389,0.132784458628521,-0.11524886076586
"log_beta",-0.216166503719251,-0.11524886076586,0.133069195840108
