"B","replicate","n_events","observed_LR","branching_hat","p_empirical","p_corrected","reject","max_boot_LR","mean_boot_LR"
20,1,170,0,1.03484105752776e-07,1,1,FALSE,4.2889122595908,0.984357648346167
20,2,163,3.50249721533095,0.0636241271075077,0.1,0.142857142857143,FALSE,5.92378934912307,1.1237651857819
20,3,129,0.38645872462871,0.0804082440648415,0.35,0.380952380952381,FALSE,4.86192226945826,0.850867137484542
20,4,173,0.751341600145736,0.0666885229349274,0.3,0.333333333333333,FALSE,4.22967177112827,0.642935314025064
20,5,140,5.89133554740329e-06,1.16261653491168e-08,0.4,0.428571428571429,FALSE,4.27580227071485,0.415351903510447
20,6,154,1.96786393473957,0.169874888809394,0.05,0.0952380952380952,FALSE,3.00416941676787,0.396114046789944
20,7,157,1.4284381620455,0.100101874303049,0.2,0.238095238095238,FALSE,7.72488796582451,1.17047955987624
20,8,149,0.000600283381174904,1.24657651708898e-05,0.7,0.714285714285714,FALSE,4.489629569812,1.1602660087413
20,9,149,0.00558994795159151,0.0027439600854847,0.5,0.523809523809524,FALSE,8.29867198146547,0.884773704581741
20,10,162,0.491291221076608,0.0543250044538089,0.4,0.428571428571429,FALSE,4.38667942848718,1.26194094112516
20,11,146,1.77322433872371,0.0417730290893009,0.2,0.238095238095238,FALSE,4.74343985839261,0.784887178881502
20,12,149,0,4.33466208299584e-09,1,1,FALSE,7.30716690547229,1.52056095108644
20,13,145,0.000143453623422829,1.37156508272198e-05,0.5,0.523809523809524,FALSE,4.83593105670451,0.55795670705397
20,14,148,0.0944000842066544,0.0247143890622844,0.4,0.428571428571429,FALSE,3.71999926069304,0.855436358936623
20,15,127,2.92452532096871,0.999982667983924,0,0.0476190476190476,TRUE,1.58175995670985,0.406401938064678
20,16,170,1.69356047790194,0.0310519465300355,0.25,0.285714285714286,FALSE,7.05436899969698,1.2423293297059
20,17,148,4.08326002343529e-07,3.50539797004152e-09,0.65,0.666666666666667,FALSE,3.60356449118871,0.515730443875381
20,18,157,0,9.90420011054461e-08,1,1,FALSE,4.60786653367705,0.654978753032316
20,19,163,0.668917565070899,0.0404754204863816,0.35,0.380952380952381,FALSE,3.43653425724153,0.755294290884956
20,20,154,0,5.1378575639112e-08,1,1,FALSE,11.5318645257779,1.38869642238894
20,21,164,0.17534162686394,0.012683892061136,0.4,0.428571428571429,FALSE,9.07013337659987,0.947333042715493
20,22,160,0.302069199331356,0.0386226670608814,0.45,0.476190476190476,FALSE,6.42600457578629,0.941843082753172
20,23,164,0.0390145127590813,0.0129454479454427,0.65,0.666666666666667,FALSE,4.22077605936744,1.29494906708919
20,24,156,0,2.58118204816594e-08,1,1,FALSE,3.84381416951743,0.847295034175354
20,25,138,0.0114233993007247,0.00954225287020462,0.6,0.619047619047619,FALSE,6.28901517511719,1.08219317117909
20,26,160,2.06451398206246,0.101400261871389,0,0.0476190476190476,TRUE,1.78016148298826,0.431106089199557
20,27,151,0.774298561005367,0.0283043828157742,0.5,0.523809523809524,FALSE,8.78388356970476,1.51647626709928
20,28,149,0,2.74111059872676e-08,1,1,FALSE,3.46689507269025,0.805235074468661
20,29,151,1.18749430542709,0.0858056321414931,0.15,0.19047619047619,FALSE,9.43951590005241,0.817297360086096
20,30,148,4.06185975027347,0.0351512338083235,0.05,0.0952380952380952,FALSE,5.44098458919314,0.579677469745391
50,1,159,0,5.2374705961124e-07,1,1,FALSE,5.11141890743636,0.629078766479478
50,2,158,0.282456016859385,0.0618364745890748,0.32,0.333333333333333,FALSE,8.78831754659888,0.794789452099052
50,3,129,0,3.10598259635888e-08,1,1,FALSE,5.97394339329406,0.770293623162527
50,4,157,0.337148085888316,0.0422019454068947,0.4,0.411764705882353,FALSE,8.39588593442386,0.924687253593124
50,5,138,0.648558111289958,0.0217362773131965,0.34,0.352941176470588,FALSE,12.243147074039,1.2775824908976
