"","log_mu","log_alpha","log_beta"
"log_mu",0.656309633791712,0.200383935168655,-0.214929677435184
"log_alpha",0.200383935168655,0.109922495870978,-0.0945775510737926
"log_beta",-0.214929677435184,-0.0945775510737926,0.100673806784817
