"T_end","mean_n_events","mean_branching","bias_branching","sd_branching","q05_branching","median_branching","q95_branching"
50,54.7333333333333,0.183112164326903,-0.108554502339764,0.103717010726467,0.0542461576901468,0.172906834620615,0.361527564379209
100,122.4,0.275775873099634,-0.0158907935670327,0.127891994716911,0.063543002233544,0.273368260647611,0.477747536675999
200,221.2,0.242230423294811,-0.0494362433718558,0.104973911095679,0.092416192689778,0.236861433732081,0.432586641546323
400,439.766666666667,0.278390636642026,-0.0132760300246408,0.0468155206962397,0.213625129902877,0.275099007270503,0.350238018289224
