"","log_mu","log_alpha","log_beta"
"log_mu",620.084915681218,184.960043725368,-202.375025537549
"log_alpha",184.960043725368,112.995195422627,-95.5130786906011
"log_beta",-202.375025537549,-95.5130786906011,103.639271742395
