"gamma1_true","mean_branching","sd_branching","q05_branching","median_branching","q95_branching"
0,0.0996481677559938,0.194424082404122,7.57405214389041e-10,0.0279569894075946,0.328891992002894
0.25,0.0503428035557283,0.0674873222990536,5.83716679401906e-08,0.0237306645635946,0.152992786425503
0.5,0.291811031431709,0.139031710889673,0.0299543070977962,0.331595382755517,0.43549402447155
0.75,0.480712366910961,0.0757593706013977,0.400583677500077,0.475267898492373,0.58737897406309
1,0.623880048119998,0.0625156584905735,0.512476627152309,0.622633339204533,0.707358780970232
1.25,0.730127246299733,0.0344070596932745,0.673757597804446,0.734907036146733,0.785573570418439
1.5,0.790081703929821,0.0320794978511718,0.747541089502854,0.791006352525007,0.839290664146116
2,0.888142556644522,0.0168159084712516,0.857650829351018,0.893834933131295,0.908893360940371
