"scenario","n_runs","mu1_true","alpha_true","mean_events","sd_events","mean_mu0","mean_mu1","mean_alpha","mean_beta","sd_mu0","sd_mu1","sd_alpha","sd_beta","rejection_cov_5pct","rejection_hawkes_5pct","median_p_cov","median_p_hawkes","conv_full_rate","conv_no_cov_rate","conv_no_hawkes_rate"
"no_covariate",100,0,0.7,212.3,21.6564078277077,-0.501993898586008,0.00900785140235129,0.70233344546198,2.72158600526471,0.122596581336213,0.112334759711523,0.208381942246193,1.07644430940357,0.06,0.99,0.5891137237475,2.32422552031539e-07,1,1,1
"no_hawkes",100,0.7,0,176.42,15.4528804807232,-0.605533642102415,0.740115775824482,0.123574893038819,348840.127986963,0.175395700545814,0.139219200895899,0.275507586924074,3488281.31755262,1,0.1,3.22070935562737e-11,0.557859646186904,1,1,1
