"method","neg_loglik","convergence","elapsed_time","mu_hat","alpha_hat","beta_hat","branching_hat","log_mu_hat","log_alpha_hat","log_beta_hat"
"Nelder-Mead",935.750655838837,0,0.0639999999839347,0.813325708983142,0.402121343239194,1.22162500556063,0.329169214291462,-0.206623623607992,-0.9110013870566,0.200181944228691
"BFGS_gradient",935.75065052772,0,0.0310000000172295,0.813243430056315,0.402437456810475,1.22215757487258,0.329284427053059,-0.206724792288649,-0.910215581003573,0.200617800777184
