"","log_mu","log_alpha","log_beta"
"log_mu",574.454017510106,198.880780999389,-216.166503719251
"log_alpha",198.880780999389,132.784458628521,-115.24886076586
"log_beta",-216.166503719251,-115.24886076586,133.069195840108
