"T_end","rep_id","n_events","max_dN","mu0_hat","mu1_hat","alpha_hat","beta_hat","loglik_full","loglik_no_cov","loglik_no_hawkes","LR_cov","p_cov","LR_hawkes","p_hawkes","conv_full","conv_no_cov","conv_no_hawkes"
100,1,104,2,-0.709024498886869,0.656705936828837,0.43605337571292,1.12503281395334,-80.628314576163,-87.8982256997525,-89.097510722628,14.5398222471789,0.000137227950983522,16.9383922929299,3.86126953288256e-05,0,0,0
100,2,91,2,-0.884357692275963,0.791132748184064,0.948155591459472,2.29313898082248,-77.6977125110545,-84.3232496398821,-92.2024339967074,13.2510742576552,0.000272423704529325,29.0094429713058,7.20263417447154e-08,0,0,0
100,3,143,1,-0.269743854073269,0.671161295957497,1.70306527379839,4.2605024580455,-51.0546578204542,-60.0974450602803,-76.3517066066466,18.0855744796521,2.11195441145905e-05,50.5940975723846,1.13586131434512e-12,0,0,0
100,4,121,1,-0.38882904913762,0.824336061633383,0.00497408041473133,0.000987061889838227,-78.5016963625311,-94.1827792554111,-79.8212157790793,31.36216578576,2.14112827435009e-08,2.63903883309627,0.104266608000306,0,0,0
100,5,128,1,-0.373290342317283,0.459745650866865,0.657354858154184,1.71510645367601,-77.8840719656587,-82.2059452980983,-87.164842117477,8.64374666487922,0.00328185826564149,18.5615403036366,1.64506254654513e-05,0,0,0
100,6,108,2,-0.545548925807353,0.896527626589447,0.589420119564806,2.6175135089096,-59.1237483819359,-81.8517330146308,-63.6026419141268,45.4559692653898,1.56109038443261e-11,8.95778706438196,0.00276289360066448,0,0,0
100,7,92,1,-0.601554445880173,0.932960656091128,1.36257069397733,4.44505518436106,-73.3413612672229,-83.0261285347652,-87.0999585585322,19.3695345350846,1.07711742418354e-05,27.5171945826186,1.55704063489583e-07,0,0,0
100,8,108,2,-0.462048109341283,0.640489782928809,0.92633803329182,2.55211546296538,-77.6667314029894,-83.5593609818369,-86.8277440105178,11.7852591576951,0.00059701580465853,18.3220252150569,1.86538013548027e-05,0,0,0
100,9,87,1,-0.512745196911886,0.65635365039375,0.598617132086903,3.21095638167325,-86.8761467399465,-91.518647651856,-90.3522998412394,9.28500182381887,0.00231037691681043,6.95230620258579,0.00837112501704934,0,0,0
100,10,103,1,-0.521159685913923,0.763768705025843,0.71397478420533,2.38081355095617,-79.508318194309,-88.4306681557714,-86.9717773665614,17.8446999229249,2.39685926665134e-05,14.9269183445049,0.000111756944943528,0,0,0
100,11,87,1,-0.585798953858033,0.648714462017592,1.1326224629449,3.96566110968774,-73.800971353358,-80.5944216786457,-82.4271745582442,13.5869006505754,0.00022776938156662,17.2524064097725,3.2728276930675e-05,0,0,0
100,12,96,1,-0.532043411346291,0.78600988258765,1.48659254480747,6.78813595013052,-79.559448118779,-87.146807173469,-87.3056274107378,15.17471810938,9.80068535229122e-05,15.4923585839176,8.28394638004418e-05,0,0,0
100,13,88,1,-0.716565186825859,0.469627859798446,1.09121820775129,2.72226963559844,-80.1049007860891,-83.1414153021488,-94.7189454260984,6.07302903211948,0.0137261372948586,29.2280892800186,6.43396781781544e-08,0,0,0
100,14,91,1,-0.593066750776293,0.577307044048824,0.575167462600905,1.56092263933281,-88.4055749462778,-91.6808787881243,-94.8794186635732,6.55060768369293,0.0104848343010528,12.9476874345907,0.000320316935541554,0,0,0
