"b","n_events","lrt_stat","convergence","error"
1,473,-0.000680844968769634,0,FALSE
2,497,-0.000687180500563045,0,FALSE
3,473,0.000201751379677262,0,FALSE
4,469,0.00714645056700647,0,FALSE
5,468,1.0275433841465,0,FALSE
6,451,-0.00114267436003956,0,FALSE
7,460,0.0495621388146219,0,FALSE
8,494,5.82452004147228,0,FALSE
9,453,2.58093911343201,0,FALSE
10,451,1.45077426088437,0,FALSE
11,459,0.133234680778628,0,FALSE
12,444,3.81823475184569,0,FALSE
13,489,0.355781689005653,0,FALSE
14,454,0.022681643274268,0,FALSE
15,505,0.88273587797039,0,FALSE
16,458,-0.00108322687731288,0,FALSE
17,467,5.62671320348977,0,FALSE
18,473,0.012839209782328,0,FALSE
19,452,0.517380135172857,0,FALSE
20,446,0.160344589186593,0,FALSE
21,467,0.340203108130481,0,FALSE
22,504,-0.00195344948872389,0,FALSE
23,463,0.0370127638551594,0,FALSE
24,464,4.37321110261757,0,FALSE
25,449,-0.000645228128860253,0,FALSE
26,449,0.00153623177868667,0,FALSE
27,439,0.817787078695119,0,FALSE
28,540,0.00999792411596445,0,FALSE
29,402,0.00031742732778639,0,FALSE
30,460,1.37607554686838,0,FALSE
31,474,1.48976282656542,0,FALSE
32,476,2.94196918246291,0,FALSE
33,435,0.25789483243932,0,FALSE
34,460,0.357779420984798,0,FALSE
35,461,-0.00320417886734958,0,FALSE
36,456,2.71084407947797,0,FALSE
37,466,1.55705748746118,0,FALSE
38,442,0.0658470886697842,0,FALSE
39,434,0.0688128730182598,0,FALSE
40,398,1.99294123617904,0,FALSE
41,456,2.08460809647397,0,FALSE
42,469,0.340957560579909,0,FALSE
43,440,-0.00109962501221617,0,FALSE
44,430,9.37774499347154,0,FALSE
45,465,0.00288312430006954,0,FALSE
46,445,0.507197084748782,0,FALSE
47,421,-0.00304660435187998,0,FALSE
48,455,0.293800088285138,0,FALSE
49,455,-0.00249699477444665,0,FALSE
50,457,3.35008088719076,0,FALSE
51,456,3.71874328217041,0,FALSE
52,462,0.332408925810455,0,FALSE
53,498,0.157035788859957,0,FALSE
54,486,7.08098976934014,0,FALSE
55,420,1.65778345008403,0,FALSE
56,447,1.01553528569923,0,FALSE
57,447,0.975377143393985,0,FALSE
58,442,2.72728767787441,0,FALSE
59,456,1.54615539994063,0,FALSE
60,440,5.72460388310105,0,FALSE
61,450,0.168089980666991,0,FALSE
62,503,1.06363393468121,0,FALSE
63,437,-0.000797069164605091,0,FALSE
64,476,-0.000645396755885486,0,FALSE
65,468,3.53774651945059,0,FALSE
66,468,-0.00182482267598516,0,FALSE
67,488,0.0805698460047779,0,FALSE
68,460,-0.00224345828746664,0,FALSE
69,475,0.00293182841903672,0,FALSE
70,439,2.69492627459306,0,FALSE
71,443,0.881322559527462,0,FALSE
72,475,2.6773177706167,0,FALSE
73,458,0.81041989991445,0,FALSE
74,462,-0.00084945414869253,0,FALSE
75,432,0.923586191100412,0,FALSE
76,484,0.423850072979008,0,FALSE
77,447,0.316209204191182,0,FALSE
78,449,0.489066212614944,0,FALSE
79,463,0.963718406821044,0,FALSE
80,469,7.23250049829585,0,FALSE
81,499,-0.000955266368009688,0,FALSE
82,431,0.0251781290562576,0,FALSE
83,473,2.76207371579858,0,FALSE
84,460,3.03867253518933,0,FALSE
85,433,0.0309877059374912,0,FALSE
86,487,-0.000650105147656177,0,FALSE
87,446,0.437793722760489,0,FALSE
88,454,0.19033243187539,0,FALSE
89,441,-0.000695249983209578,0,FALSE
90,488,4.75418804849733,0,FALSE
91,476,1.50383830186797,0,FALSE
92,481,-0.000620493677615741,0,FALSE
93,436,4.50152381326461,0,FALSE
94,455,-0.00121635077948667,0,FALSE
95,493,-0.000429419464921921,0,FALSE
96,473,0.013658769847666,0,FALSE
97,486,0.500667788624924,0,FALSE
98,433,1.46987666607163,0,FALSE
99,445,1.28343579372188,0,FALSE
100,426,-1.96337432498694e-05,0,FALSE
101,420,1.15944406659389,0,FALSE
102,437,-0.000201472005301184,0,FALSE
103,468,0.30646418363574,0,FALSE
104,430,4.15629890352909,0,FALSE
105,444,3.09034664231888,0,FALSE
106,445,0.283072749181315,0,FALSE
107,473,3.3834289409516,0,FALSE
108,419,2.67493342462853,0,FALSE
109,431,0.0898750499236485,0,FALSE
110,447,-0.000822523877445747,0,FALSE
111,465,1.09110453918038,0,FALSE
112,468,0.657237919305658,0,FALSE
113,473,0.230118401924528,0,FALSE
114,483,3.42721911892318,0,FALSE
115,444,1.01615496058957,0,FALSE
116,470,0.0280947411977195,0,FALSE
117,454,4.72485787268738,0,FALSE
118,483,1.92408032599792,0,FALSE
119,441,0.418926825981544,0,FALSE
120,493,5.97791407223144,0,FALSE
121,468,0.157056117833804,0,FALSE
122,431,0.109475257683698,0,FALSE
123,479,4.47296628285085,0,FALSE
124,466,1.30643639460493,0,FALSE
125,471,0.00195982602542699,0,FALSE
126,481,0.712927689640992,0,FALSE
127,469,-0.000661444498859964,0,FALSE
128,483,2.28121641240875,0,FALSE
129,463,0.96343987707246,0,FALSE
130,451,2.00453341089872,0,FALSE
131,444,0.838935087005893,0,FALSE
132,465,0.587679681609984,0,FALSE
133,443,2.85921947821862,0,FALSE
134,452,-0.000890295191879886,0,FALSE
135,478,1.25629642040974,0,FALSE
136,453,-0.00214816737627643,0,FALSE
137,433,2.85336468623302,0,FALSE
138,462,0.962144977145272,0,FALSE
139,406,3.59415130420064,0,FALSE
140,460,-0.00150255228447804,0,FALSE
141,430,0.907432062181101,0,FALSE
142,435,0.994958693726176,0,FALSE
143,473,3.53761266895083,0,FALSE
144,465,0.290959852143146,0,FALSE
145,450,2.43979017370953,0,FALSE
146,462,0.724809565726105,0,FALSE
147,488,0.123316780718937,0,FALSE
148,453,0.535927639034526,0,FALSE
149,422,0.00458091964151208,0,FALSE
150,468,0.568329134104943,0,FALSE
151,458,1.21918598106276,0,FALSE
152,451,5.06413142675592,0,FALSE
153,412,0.274843783890105,0,FALSE
154,455,-0.00093697700890516,0,FALSE
155,489,0.55757615847881,0,FALSE
156,446,0.572601482724622,0,FALSE
157,419,7.27427769298401,0,FALSE
158,447,6.17288671567758,0,FALSE
159,432,-0.000936748290314426,0,FALSE
160,428,5.71420344848559,0,FALSE
161,452,4.34906938641439,0,FALSE
162,471,-0.00138471966101861,0,FALSE
163,449,0.560330785805945,0,FALSE
164,465,0.265027782492211,0,FALSE
165,441,0.159213221532923,0,FALSE
166,443,1.4511423345233,0,FALSE
167,504,-0.000961398826120785,0,FALSE
168,468,5.27413092854465,0,FALSE
169,465,1.07805670893356,0,FALSE
170,487,0.00679141914952197,0,FALSE
171,410,0.00728034881115036,0,FALSE
172,474,6.37395125077694,0,FALSE
