"label","n_events","mu_null","est_mu","est_alpha","est_beta","est_branching","poisson_loglik","hawkes_loglik","observed_lrt","boot_mean_lrt","boot_q95_lrt","boot_q99_lrt","p_value","n_boot_ok"
"negative_control_poisson",245,0.49,0.482981257670133,1.47646187391603,103.076526611723,0.0143239389456504,-419.770722529979,-418.014571941319,3.51230117732007,1.21893803306844,4.32062785180988,6.92255240888677,0.119402985074627,200
"positive_control_hawkes",458,0.916,0.495163618241312,0.708614873049289,1.54162426593069,0.45965472178235,-498.184422753067,-435.458880230884,125.451085044366,1.28623555564558,5.63108771573956,7.23291827024273,0.00497512437810945,200
