"case","n_events","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
"td_baseline_negative_control",245,0,0.879750162142476,1.5,158.647237042123,0,0.00554532293498998,-403.029778199987,-402.565959759059,0.927636881855278,0,FALSE
"td_baseline_positive_control",405,0.6,0.733781619670823,1.5,1.8287895319223,0.4,0.401238965371548,-513.311654064099,-414.680214603478,197.262878921243,0,FALSE
