"case","n_rep","n_ok","mean_path_min","mean_path_max","mean_n_events","mean_poisson_gamma0","mean_hawkes_gamma0","mean_poisson_gamma1","mean_hawkes_gamma1","mean_est_alpha","mean_est_beta","mean_est_branching","sd_est_branching","q05_branching","q50_branching","q95_branching","mean_lrt_stat","q95_lrt_stat","q99_lrt_stat"
"diffusion_negative_control",50,50,-2.91094324975593,2.94110187592499,223.68,-0.923727620272772,-0.971227966222307,0.493148883376315,0.504271562367483,0.0908779022712575,13.1209077181974,0.040702418404968,0.0679717855742496,8.90989610222033e-06,0.0104577569612371,0.146165031224717,1.04982671087321,4.73083134928186,5.68700357451523
"diffusion_positive_control",50,50,-2.91094324975593,2.94110187592499,372.64,-0.410778501111989,-0.939901210001141,0.466966490195714,0.501911246226233,0.601810137489798,1.54091306800885,0.398098143594533,0.0676179008286033,0.293044707904023,0.395262005067248,0.490179992763032,84.9882305560499,130.058556320826,141.238652589009
