"case","n_rep","n_ok","mean_n_events","mean_poisson_gamma0","mean_hawkes_gamma0","mean_poisson_gamma1","mean_hawkes_gamma1","mean_est_alpha","mean_est_beta","mean_est_branching","sd_est_branching","q05_branching","q50_branching","q95_branching","mean_lrt_stat","q95_lrt_stat","q99_lrt_stat"
"covariate_negative_control",50,50,293.3,-0.691390419456842,-0.751191175062875,0.800765169368648,0.818467647797886,0.268707112458176,47.4625137873784,0.0489228489399111,0.0711275462068897,8.67482913267286e-06,0.0183655003532467,0.201800139870323,1.05463174952925,4.69072411126789,5.97247090220821
"covariate_positive_control",50,50,480.74,-0.197543819901352,-0.70049626596471,0.794766348240473,0.797981008728998,0.599229821149285,1.54985435512639,0.392672959148826,0.0561573818304367,0.290618172769498,0.39992635233722,0.476285448394812,81.8480187325873,123.038478738358,149.544415187653
