"case","n_rep","n_ok","mean_n_events","mean_est_mu","mean_est_alpha","mean_est_beta","mean_est_branching","sd_est_branching","q05_branching","q50_branching","q95_branching","mean_lrt_stat","q95_lrt_stat"
"negative_control_poisson",50,50,250.1,0.447281094124346,0.127690561625326,9.11357581984115,0.107138632734451,0.123760229079624,2.59228061737376e-05,0.0517768849428437,0.353884318234673,1.64579703932201,4.75983880352838
"positive_control_hawkes",50,50,417.16,0.499924624818814,0.611363367468154,1.55853185548619,0.399525161503717,0.0568697043547299,0.300277651339236,0.400286021380615,0.497051697252547,87.4025096610914,129.937791851783
