"case","n_rep","n_ok","mean_n_events","mean_est_alpha","mean_est_beta","mean_est_branching","sd_est_branching","q05_branching","q50_branching","q95_branching","mean_lrt_stat","q95_lrt_stat","q99_lrt_stat"
"td_baseline_negative_control",50,50,250.02,0.118480486995723,2548816.34371639,0.0573166673215454,0.17059087081709,4.11618982050725e-18,0.0105229219850347,0.112439874979847,0.957601813359056,3.69573258873203,7.8586879546359
"td_baseline_positive_control",50,50,421.5,0.590997945235564,1.47940532358938,0.405050011997076,0.0528827545019879,0.313450021293987,0.413709768423561,0.484153527312865,185.502026332393,280.680132083241,373.068009682319
