"b","n_events","null_gamma0","null_gamma1","hawkes_gamma0","hawkes_gamma1","est_alpha","est_beta","est_branching","lrt_stat","poisson_convergence","hawkes_convergence","error"
1,478,-0.154046887416109,0.669447018177401,-0.161225923637022,0.671435084042512,0.0267469128309879,4.094351512246,0.00653263715901998,0.047207248625341,0,0,FALSE
2,454,-0.20089469921878,0.65459335236553,-0.223666151274406,0.654083389491004,0.0215713479658901,0.951231638526286,0.0226772818441047,0.121248523005079,0,0,FALSE
3,461,-0.203087716193265,0.708845333068594,-0.219163910579422,0.704237751310841,0.65156061178075,37.325832018373,0.0174560237923171,2.00711320693983,0,0,FALSE
4,440,-0.300927023398341,0.850065696926547,-0.304435979823801,0.848623842736661,0.388835215622363,99.438270484245,0.00391031756414116,0.316124156211117,0,0,FALSE
5,501,-0.142181066724387,0.773087419660214,-0.143159082630153,0.773111890224204,0.00241617286584616,2.43780284998844,0.00099112726275532,-0.00122749650984133,0,0,FALSE
6,511,-0.0768671170569033,0.635840917499906,-0.0769844582096102,0.635824482943351,0.00453836566464106,43.7530114192526,0.000103726932556785,0.00299546558380825,0,0,FALSE
7,500,-0.0954147021430156,0.625147192134155,-0.0954397038067388,0.625133349645313,0.000192216195004613,6.91944335131816,2.77791413622883e-05,-0.00117977998741026,0,0,FALSE
8,422,-0.297225731268638,0.725872676815515,-0.329307449772659,0.730821776260421,0.244254671777115,8.16030591866292,0.0299320484074617,1.73164921501859,0,0,FALSE
9,484,-0.165266103102904,0.740754668888261,-0.168777743162763,0.740735567535306,0.00173137410473997,0.484824106225732,0.00357113865112525,-0.00581103863646604,0,0,FALSE
10,458,-0.230897431523257,0.770249968165462,-0.231283139546338,0.770192477717188,0.000201899458529848,0.457357805635664,0.000441447496996877,-0.00339199122902301,0,0,FALSE
11,458,-0.239966089287971,0.795154234989536,-0.582052840193479,1.0197849803342,0.0100060746566736,0.0439213111060224,0.227818214090189,3.40583182690727,0,0,FALSE
12,484,-0.155218228023877,0.711289778150164,-0.284931669699364,0.7116557940973,0.0850443914811103,0.697711613302916,0.12189046284971,2.93280882174543,0,0,FALSE
13,479,-0.161842818660148,0.699983571742256,-0.16184470934804,0.699979297474302,6.87441179236753e-05,19.4967629331157,3.52592469629467e-06,-0.000282475057360898,0,0,FALSE
14,512,-0.143605144959016,0.835184109226984,-0.242058066902539,0.840249579307614,0.136540754199288,1.48352526307713,0.0920380377723227,3.41424484253594,0,0,FALSE
15,483,-0.172658320862608,0.755956803442091,-0.186864480822914,0.759499502635302,0.375256106111881,29.1611843835929,0.0128683424231223,1.07652656685707,0,0,FALSE
16,516,-0.0924324827245786,0.71497249916706,-0.238581703745706,0.782914791560908,0.0067603906891647,0.0575125835913837,0.117546287560233,0.83760484976915,0,0,FALSE
17,469,-0.220150376827845,0.805707322640073,-0.220319648205478,0.805678683837348,0.00125872428033741,6.46533697311796,0.000194688116887183,-0.00252147163382688,0,0,FALSE
18,524,-0.0643519560062366,0.676305740097268,-0.0642227661198268,0.676138016381665,9.69661931479109e-05,0.997533952692055,9.72059075144532e-05,-0.00116972378020819,0,0,FALSE
19,477,-0.171464865520056,0.716285375621517,-0.179029301142082,0.715951184882836,0.026340353723502,3.44168234883685,0.00765333666902873,0.0426931743004388,0,0,FALSE
20,476,-0.185578238773485,0.751192329282964,-0.218225909709374,0.751182850999361,0.0237241070233763,0.737316611117638,0.032176281756917,0.212412477864859,0,0,FALSE
21,500,-0.125525839519272,0.719698619633179,-0.134733985858921,0.717380782923087,0.105609809391359,10.6217803444813,0.00994275968493647,0.222002182314668,0,0,FALSE
22,510,-0.0881057223608783,0.665841605774098,-0.0881344920755765,0.665844744401169,0.000862857365594657,39.1147272830766,2.20596543943688e-05,0.00559969478206312,0,0,FALSE
23,490,-0.147603024512825,0.725219175144169,-0.184214743437914,0.723855657110012,0.0243025114532786,0.665633383979748,0.0365103554571987,0.255912978173228,0,0,FALSE
24,500,-0.127743314074517,0.726225388678041,-0.23504753861586,0.722965934364461,0.0628742722385102,0.610681562216225,0.102957541423607,1.64429317256361,0,0,FALSE
25,510,-0.0827719807432825,0.648750900139405,-0.0927164467655011,0.648849844705853,0.00390167018991537,0.390059239174376,0.0100027631653435,0.00762523478385901,0,0,FALSE
26,487,-0.185679408045572,0.814214401359614,-0.185741584547394,0.814215318219898,6.20988914044228e-05,0.992666268203173,6.25576725970835e-05,-0.000824477623041275,0,0,FALSE
27,468,-0.1843972160056,0.697927668719339,-0.431154524224625,0.884471957265521,0.000745176249561483,0.000772011034376355,0.965240412869811,5.01238854679218,0,0,FALSE
28,522,-0.0613660390088122,0.654726036605087,-0.0613768358061353,0.654717006906069,0.000140893558125284,9.11340427630672,1.54600359924318e-05,-0.000970512427102221,0,0,FALSE
29,481,-0.261036886202938,0.969110967371054,-0.286333943107262,0.97183346150913,0.227080071582189,9.53238999399651,0.0238219451496638,1.24843208820357,0,0,FALSE
30,486,-0.179325131386213,0.791621544691753,-0.188986589678981,0.783173894304971,3.93622245572319,310.613137303323,0.0126724274764958,5.89458129851278,0,0,FALSE
31,474,-0.211670901867333,0.811382231773812,-0.215636878062337,0.811466798894028,0.00203178115798961,0.514374716127859,0.00395000200104037,-0.00401834455601602,0,0,FALSE
32,496,-0.148175003089409,0.761812691239725,-0.209141426604334,0.760233286631706,0.300742094476078,5.03961150728798,0.0596756504030445,4.20604215904575,0,0,FALSE
33,487,-0.152852574705524,0.722597569793207,-0.163231063929086,0.724044700293518,0.555396789236371,56.457614072006,0.00983741162933344,1.55174430218131,0,0,FALSE
34,508,-0.127245424493276,0.770139550572114,-0.179411710309072,0.766002961239473,0.416120669891614,7.96738933308888,0.0522279824036524,4.9408669868277,0,0,FALSE
35,491,-0.163284933489327,0.775697922793671,-0.364179862278261,0.871438649694439,0.00980646504735018,0.0633216098980236,0.154867588855416,1.66019401423773,0,0,FALSE
36,474,-0.211101157355058,0.809864108716817,-0.21207331358614,0.809916860533864,0.000889451708645049,0.934691690551224,0.000951599032746835,-0.0026845696751252,0,0,FALSE
37,518,-0.0508585690517709,0.593609376872187,-0.152420653008437,0.595984190660731,0.0575295928767798,0.597052918693582,0.0963559360913284,1.65620196927409,0,0,FALSE
38,487,-0.146734213539223,0.704377918795099,-0.438789070057409,0.917305577498794,0.00346041242879235,0.0163057062347893,0.212220947621964,1.30028707986014,0,0,FALSE
39,489,-0.130694444260384,0.667551704110036,-0.309111265905224,0.801211468608124,0.000566097255450095,0.000915666759532939,0.618235017877954,2.54428051528384,0,0,FALSE
40,460,-0.18897170042586,0.658462627886095,-0.188991825415264,0.658470013081463,0.000687152647762623,41.6972467707407,1.64795688199923e-05,0.000752057540125861,0,0,FALSE
41,509,-0.11829256377087,0.750464601491778,-0.270026969845337,0.752152359052202,0.0553051532945817,0.392913637963997,0.140756512248245,2.08965168464169,0,0,FALSE
42,492,-0.159995534116034,0.772218389250626,-0.216388010908212,0.791071644037725,0.00390079363570644,0.079583259952516,0.0490152531830673,0.177619320387635,0,0,FALSE
43,456,-0.250469591846472,0.811606216950685,-0.267154516442027,0.809225289175809,0.119555602677956,6.85540269423984,0.0174396177745198,0.493552131182582,0,0,FALSE
44,478,-0.178707035442793,0.743535343807391,-0.212793354071109,0.743059114540837,0.263217158003899,7.81698491354295,0.033672465907907,1.97124137957553,0,0,FALSE
45,476,-0.195019011677619,0.777654592571895,-0.218857559813656,0.775970378300613,0.65054192048849,26.9354064177414,0.0241519251797887,3.07253141600052,0,0,FALSE
46,481,-0.151308613316667,0.680455057748654,-0.168228346281451,0.680547500677573,0.0641028616685785,3.82042939775307,0.0167789677532792,0.282148739735248,0,0,FALSE
47,472,-0.159983789734986,0.64803740635645,-0.239047124603372,0.642861903723775,0.0521380870846185,0.671444361169885,0.0776506440440965,1.0355234649046,0,0,FALSE
48,457,-0.203199723355862,0.682648837677121,-0.22208565392833,0.681311037820893,0.0765473546156056,4.00065575167139,0.0191337019146488,0.338258693545527,0,0,FALSE
49,497,-0.147693235947127,0.766110045754068,-0.147743784393222,0.766104124164279,0.000418857410605301,7.66368969873185,5.46547977633557e-05,-4.76344010849061e-05,0,0,FALSE
