"b","n_events","null_gamma0","null_gamma1","hawkes_gamma0","hawkes_gamma1","est_alpha","est_beta","est_branching","lrt_stat","poisson_convergence","hawkes_convergence","error"
1,293,-0.742900196707819,0.936906107496387,-0.833586003446208,0.939442810199137,0.0717981398947374,0.836529617800584,0.0858285688479389,1.63665100145738,0,0,FALSE
2,288,-0.752371931395684,0.918484513513913,-0.752374369777414,0.918470457727575,4.34233739670018e-05,2.34808375350377,1.84931112027866e-05,-0.00091828548625017,0,0,FALSE
3,319,-0.612253055981262,0.823462061489385,-0.623276723719843,0.83002513406613,0.462673092867704,54.5441700280611,0.00848253979535621,1.29771630682103,0,0,FALSE
4,281,-0.76336022791303,0.885315185475956,-0.763453978050463,0.885460627425347,9.40630357521773e-05,9.75323741311747,9.64428853394552e-06,-0.000881431235711716,0,0,FALSE
5,277,-0.871429318145923,1.09698244295481,-0.912852827448825,1.09256765971971,0.0634430057586985,1.48915577644824,0.0426033372479106,0.615019836891065,0,0,FALSE
6,296,-0.662399729183772,0.756194908158218,-0.662399341272189,0.756185370306023,0.000167376599245965,20.2118346210039,8.28111858148838e-06,-0.00062033124345362,0,0,FALSE
7,289,-0.767907615122067,0.963193169439885,-0.837254356250456,0.965085423264582,0.020167477906077,0.303810531729085,0.0663817603402269,0.405173794143366,0,0,FALSE
8,315,-0.651251035457008,0.890519153300969,-0.667852608061482,0.905144354045538,1.13486644535123,107.430727938675,0.0105637043248842,3.31878162756141,0,0,FALSE
9,284,-0.72087906440589,0.803293935246006,-0.960822469152235,0.856949349109191,0.0236184793532782,0.118923019715266,0.1986030913933,2.42415542711251,0,0,FALSE
10,307,-0.648208905381762,0.817164549902604,-0.693641774212855,0.801223559974725,0.188043917391791,3.73790512879711,0.0503073007238964,1.93209974360047,0,0,FALSE
11,321,-0.586504635503784,0.770748571175837,-0.586532820368247,0.770747220460665,3.34486348981371e-05,5.28951902864169,6.32356830876672e-06,-0.000713967487513401,0,0,FALSE
12,312,-0.689038891049232,0.957890399352922,-0.689133251296695,0.957916022798418,0.00108394015087018,13.4924633973303,8.03367123519231e-05,0.00103021131997139,0,0,FALSE
13,288,-0.792043154547658,1.00999872209673,-0.79205544539078,1.00998110962094,3.65616134753448e-05,2.65246960291548,1.37839896205249e-05,-0.000743043622378536,0,0,FALSE
14,316,-0.602680434313881,0.772075958274188,-0.670593133817457,0.780387711607913,0.17652830585428,2.80856871058858,0.0628534759319761,2.71877618211715,0,0,FALSE
15,292,-0.725261185644854,0.88605695463085,-0.725284177765207,0.886084093924103,0.000311838285862252,399.575246123511,7.80424435416253e-07,-0.000344284711673026,0,0,FALSE
