"b","n_events","lrt_stat","convergence","error"
1,252,2.14125792428558,0,FALSE
2,239,-2.27373675443232e-13,0,FALSE
3,233,-1.13686837721616e-13,0,FALSE
4,235,-3.41060513164848e-13,0,FALSE
5,257,3.9262997568394,0,FALSE
6,232,2.05709420697531e-06,0,FALSE
7,253,0.0134300044517204,0,FALSE
8,227,1.19940898085179,0,FALSE
9,246,-1.13686837721616e-13,0,FALSE
10,252,0.216572609920263,0,FALSE
11,252,0.709202578490249,0,FALSE
12,231,1.88684692279412,0,FALSE
13,269,5.32091909856047,0,FALSE
14,241,0.00346377091852901,0,FALSE
15,250,0.363406135453033,0,FALSE
16,269,2.30513156146912,0,FALSE
17,240,0,0,FALSE
18,267,4.00961660665655,0,FALSE
19,245,2.18951169028378,0,FALSE
20,251,0.023120162640339,0,FALSE
21,249,0.0638490145407786,0,FALSE
22,280,5.22661419300437,0,FALSE
23,265,0.407923102785503,0,FALSE
24,229,2.27373675443232e-13,0,FALSE
25,256,0,0,FALSE
26,258,3.62979230104406,0,FALSE
27,232,0,0,FALSE
28,260,0.903496296301341,0,FALSE
29,245,0.954644163193166,0,FALSE
30,270,0.727964492741421,0,FALSE
31,251,3.7498331366769,0,FALSE
32,215,0.00104412704649803,0,FALSE
33,232,0,0,FALSE
34,245,2.27373675443232e-13,0,FALSE
35,239,0.00107989060916225,0,FALSE
36,265,-3.41060513164848e-13,0,FALSE
37,243,0,0,FALSE
38,238,0.00383485351721902,0,FALSE
39,220,0,0,FALSE
40,250,2.86788648751406,0,FALSE
41,235,0.1551168856613,0,FALSE
42,254,1.26201354872023,0,FALSE
43,275,2.49312523709909,0,FALSE
44,231,0,0,FALSE
45,231,0,0,FALSE
46,246,0.277653906032583,0,FALSE
47,260,0.917396588545898,0,FALSE
48,245,1.13686837721616e-13,0,FALSE
49,248,0,0,FALSE
50,239,-1.13686837721616e-13,0,FALSE
51,236,-2.27373675443232e-13,0,FALSE
52,233,0.20310734728173,0,FALSE
53,268,1.86944481749856,0,FALSE
54,253,1.50502209539593,0,FALSE
55,247,2.27373675443232e-13,0,FALSE
56,233,1.82300944995279,0,FALSE
57,233,0,0,FALSE
58,262,1.53613550016121,0,FALSE
59,259,2.77981294506094,0,FALSE
60,256,0.137062539883004,0,FALSE
61,259,0.307121891732095,0,FALSE
62,284,9.52359272597391,0,FALSE
63,257,1.08521522072215,0,FALSE
64,239,0.00179943100306446,0,FALSE
65,260,0.422277792715931,0,FALSE
66,270,4.81069493793325,0,FALSE
67,275,2.73287474019003,0,FALSE
68,249,2.33345398428571,0,FALSE
69,241,0.0314317764651832,0,FALSE
70,251,2.02358422954603,0,FALSE
71,250,0.0143152828170514,0,FALSE
72,254,0.148501269840949,0,FALSE
73,231,0.117814797861683,0,FALSE
74,262,0.101933319820887,0,FALSE
75,260,3.02835218820758,0,FALSE
76,259,1.22180660675781,0,FALSE
77,232,0.772460891829724,0,FALSE
78,226,-2.27373675443232e-13,0,FALSE
79,257,0.480067244329007,0,FALSE
80,266,0.797832757954438,0,FALSE
81,258,1.82967582672359,0,FALSE
82,277,2.64617061620299,0,FALSE
83,248,1.63326216034898,0,FALSE
84,240,0.125061094270109,0,FALSE
85,236,0.295457035301752,0,FALSE
86,237,1.13686837721616e-13,0,FALSE
87,257,0.343109859129754,0,FALSE
88,246,-1.13686837721616e-13,0,FALSE
89,258,0.279792888557267,0,FALSE
90,242,0.700052586266338,0,FALSE
91,255,2.11054072421643,0,FALSE
92,226,0,0,FALSE
93,267,1.69471369814744,0,FALSE
94,241,3.88764302949517,0,FALSE
95,248,1.18617256794062,0,FALSE
96,235,0.00330051970649947,0,FALSE
97,264,1.61742880443217,0,FALSE
98,245,-2.27373675443232e-13,0,FALSE
99,235,2.27373675443232e-13,0,FALSE
100,239,0.122773504617498,0,FALSE
101,213,2.27373675443232e-13,0,FALSE
102,252,1.48145233848379,0,FALSE
103,245,0,0,FALSE
104,265,0.817241741003727,0,FALSE
105,248,1.23567783703038e-05,0,FALSE
106,258,1.601243093211,0,FALSE
107,267,1.27254566399586,0,FALSE
108,260,1.02999938429014,0,FALSE
109,235,-2.27373675443232e-13,0,FALSE
110,238,0.273257497375425,0,FALSE
111,244,1.23199862209299,0,FALSE
112,260,0.594539336044704,0,FALSE
113,268,5.64227793585803,0,FALSE
114,228,3.85449636672649,0,FALSE
115,237,2.20501708820575,0,FALSE
116,252,0,0,FALSE
117,257,-2.27373675443232e-13,0,FALSE
118,227,0.297357037724169,0,FALSE
119,249,9.83612830676452,0,FALSE
120,226,0.5043192343378,0,FALSE
121,227,-1.13686837721616e-13,0,FALSE
122,251,-1.13686837721616e-13,0,FALSE
123,250,2.62445793020618,0,FALSE
124,275,3.7024719011024,0,FALSE
125,263,0.515410212339816,0,FALSE
126,258,0.723147494561772,0,FALSE
127,280,5.74835590839871,0,FALSE
128,229,0.00153408255141585,0,FALSE
129,229,0.000210797732620449,0,FALSE
130,223,0.181959667051046,0,FALSE
131,230,4.19987953837563,0,FALSE
132,267,4.56641553898191,0,FALSE
133,236,3.90002696804004e-07,0,FALSE
134,255,4.97071678896691,0,FALSE
135,270,1.44524091709172,0,FALSE
136,266,6.03008963688023,0,FALSE
137,268,2.04975243564149,0,FALSE
138,241,-1.13686837721616e-13,0,FALSE
139,254,-3.41060513164848e-13,0,FALSE
140,233,0.568869813921083,0,FALSE
141,238,0,0,FALSE
142,259,4.96597474566227,0,FALSE
143,268,4.52125549049367,0,FALSE
144,251,0,0,FALSE
145,229,-2.27373675443232e-13,0,FALSE
146,258,0.0627549767128812,0,FALSE
147,246,0.266855633331488,0,FALSE
148,238,-1.13686837721616e-13,0,FALSE
149,265,0.801736292890155,0,FALSE
150,255,-2.27373675443232e-13,0,FALSE
151,270,1.24573475314537,0,FALSE
152,263,0.882763476004811,0,FALSE
153,254,0.0776266952445894,0,FALSE
154,219,0,0,FALSE
155,232,0,0,FALSE
156,214,0,0,FALSE
157,243,2.27373675443232e-13,0,FALSE
158,261,1.90513728356677,0,FALSE
159,256,0.343028907001212,0,FALSE
160,257,0.000214769870012788,0,FALSE
161,240,-2.27373675443232e-13,0,FALSE
162,273,1.8687034459258,0,FALSE
163,264,2.32159867321525,0,FALSE
164,258,0.0828122060072474,0,FALSE
165,252,0.0341279805002159,0,FALSE
166,254,0.897334827278428,0,FALSE
167,250,1.13686837721616e-13,0,FALSE
168,244,0.188662599462077,0,FALSE
169,239,0.064782638999759,0,FALSE
170,244,0.0604588202995728,0,FALSE
171,262,2.08730168421334,0,FALSE
172,265,0.509186520505295,0,FALSE
173,241,0.0748318763085081,0,FALSE
174,245,-2.27373675443232e-13,0,FALSE
175,234,2.2435833890795,0,FALSE
176,267,0.719298112116121,0,FALSE
177,248,0.0293693837249975,0,FALSE
178,252,0.0830371406066206,0,FALSE
179,265,3.0311184918794,0,FALSE
180,250,5.21749561609863,0,FALSE
181,242,0.67636446941799,0,FALSE
182,220,0,0,FALSE
183,247,0.0110762021618029,0,FALSE
184,227,0,0,FALSE
185,251,0.545334419089727,0,FALSE
186,254,0.700062585870796,0,FALSE
187,264,1.5835596802915,0,FALSE
188,232,2.27373675443232e-13,0,FALSE
189,237,0.00126343291526609,0,FALSE
190,229,0.124837421663301,0,FALSE
191,241,1.13686837721616e-13,0,FALSE
192,259,2.64180243902956e-07,0,FALSE
193,245,0.00124658089214336,0,FALSE
194,239,0,0,FALSE
195,250,-1.13686837721616e-13,0,FALSE
196,251,1.2254774213759,0,FALSE
197,258,0.749696037388958,0,FALSE
198,265,9.77708383434629,0,FALSE
199,268,0.53742021371022,0,FALSE
200,245,0,0,FALSE
