"case","n_events","true_gamma0","poisson_gamma0","hawkes_gamma0","true_gamma1","poisson_gamma1","hawkes_gamma1","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
"covariate_negative_control",298,-0.693147180559945,-0.712459301774028,-0.730444995251231,0.8,0.904529658400217,0.908724268826254,0,0.158040144224968,1.5,9.79447434045422,0,0.0161356432955481,-399.382012872955,-399.058056151389,0.647913443131301,0,FALSE
"covariate_positive_control",487,-0.693147180559945,-0.151836380960903,-0.698861899060523,0.8,0.719599756308718,0.64331555613133,0.6,0.604075651160402,1.5,1.38581090650196,0.4,0.435900488534326,-442.368902036455,-394.706832419081,95.324139234748,0,FALSE
